source_column,harmonized_name,label,description,section,dtype,n_tax_years,years_present,first_year,last_year,scope_observed
ACCPER,accper,Accounting period (MM),Accounting period,Miscellaneous,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND
ACTIV,activ,,,,,14,1997-2010,1997,2010,501C3-PRIVFOUND
ACTIV1,activ1,IRS Activity Code 1,First activity code.,Classification,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND
ACTIV2,activ2,IRS Activity Code 2,Second activity code.,Classification,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND
ACTIV3,activ3,IRS Activity Code 3,Third activity code.,Classification,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND
ADDRESS,address,,,,,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND
AFCD,afcd,Affiliation code,Affiliation code,Other Descriptive Info,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND
ARC,arc,[NULL],[NULL],Miscellaneous,Character,12,1999-2010,1999,2010,501C3-PRIVFOUND
ARED,ared,Advance Ruling Expiration Date,Advance Ruling Expiration Date,Other Descriptive Info,Character,21,"1989-1992, 1994-2010",1989,2010,501C3-PRIVFOUND
ASCD,ascd,,,,,6,"1989-1990, 1994-1996, 1999",1989,1999,501C3-PRIVFOUND
ASS_CODE,ass_code,,,,,12,"1999-2001, 2003-2011",1999,2011,501C3-PRIVFOUND
CITY,city,City,City,Basic Info,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND
CLASSCD,classcd,Classification code-brkdwn of,IRS Classification code,Other Classification,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND
CODE990,code990,,,,,7,"1989-1992, 1994-1996",1989,1996,501C3-PRIVFOUND
CONTACT,contact,,,,,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND
CYCLE,cycle,,,,,11,"1999-2001, 2003-2010",1999,2010,501C3-PRIVFOUND
DEDUCTCD,deductcd,IRS deductability code,IRS Deductibility code,Other Classification,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND
DISTRICT,district,IRS District Ofc.,IRS District Office,Other Descriptive Info,Character,20,"1989-1992, 1994-2009",1989,2009,501C3-PRIVFOUND
DLN,dln,Document Locator Number,A unique 14-digit identifier used by the IRS.,Miscellaneous,Character,12,1999-2010,1999,2010,501C3-PRIVFOUND
DocCD,doccd,990 Document Type Code,"A 2-digit code identifying type of Form 990 (990, 990-EZ, or 990-PF), and form revision (form revision 2007 and earlier vs. 2008 and later). Document Code is the 4th and 5th digits of the DLN assigned by the IRS.",Miscellaneous,Character,4,"2007-2008, 2010-2011",2007,2011,501C3-PRIVFOUND
EIN,ein,Employer Identification Number,Employer identification number.,Basic Info,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND
EOSTATUS,eostatus,,,,,12,"1999-2001, 2003-2011",1999,2011,501C3-PRIVFOUND
FIPS,fips,State + County FIPS code,2-digit State + 3-digit County FIPS code (Federal Information Processing Standard). See also U.S. Census Bureau State & County QuickFacts .,Basic Info,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND
FISYR,fisyr,Fiscal year,Fiscal year (ending year),Basic Info,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND
FNDNCD,fndncd,Reason for 501(c)(3) status,"Reason for & type of 501(c)(3) exempt status including codes for operating and grantmaking foundations, and broad type of public charity",Other Descriptive Info,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND
FRCD,frcd,Filing Requirement Code,Filing requirements code. The 1st 2 characters indicate the requirements for 990/990-EZ forms. The 3rd character = 1 if a 990-PF is required or 0 if not.,Other Descriptive Info,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND
GEN,gen,,,,,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND
INCCD,inccd,,,,,6,"1989-1990, 1994-1996, 1999",1989,1999,501C3-PRIVFOUND
INC_CODE,inc_code,,,,,12,"1999-2001, 2003-2011",1999,2011,501C3-PRIVFOUND
LEVEL1,level1,Public charity or priv. fndn?,Public charity or private foundation?,Other Classification,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND
LEVEL1old20090616,level1old20090616,,,,,17,"1989-1992, 1994-2006",1989,2006,501C3-PRIVFOUND
LEVEL2,level2,Reporting public charity group,Reporting public charity groups.,Other Classification,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND
LEVEL2old20090616,level2old20090616,,,,,17,"1989-1992, 1994-2006",1989,2006,501C3-PRIVFOUND
LEVEL3,level3,Major NTEE category,Major NTEE category,Other Classification,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND
LEVEL3old20090616,level3old20090616,,,,,17,"1989-1992, 1994-2006",1989,2006,501C3-PRIVFOUND
LEVEL4,level4,NTEE-CC Major Group,NTEE-CC Major Group,Other Classification,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND
LEVEL4old20090616,level4old20090616,,,,,17,"1989-1992, 1994-2006",1989,2006,501C3-PRIVFOUND
LRC,lrc,,,,,11,"1999-2001, 2003-2010",1999,2010,501C3-PRIVFOUND
MAJGRPB,majgrpb,Major NTEE group,Major NTEE group plus hospitals and higher education,Classification,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND
MSA_NECH,msa_nech,Metropolitan Statistical Area,Metropolitan Statistical Area (NCCS file) ( list ),Basic Info,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND
NAME,name,Name of organization,Organization name.,Basic Info,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND
NCCSKEY,nccskey,,,,,6,2006-2011,2006,2011,501C3-PRIVFOUND
NCCSKEY2,nccskey2,,,,,6,2006-2011,2006,2011,501C3-PRIVFOUND
NTEE,ntee,,,,,8,1998-2005,1998,2005,501C3-PRIVFOUND
NTEE1,ntee1,NTEE major group,NTEE major group (A-Z),Basic Info,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND
NTEECC,nteecc,NTEECC primary purpose,NTEECC classification,Basic Info,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND
NTEEIRS,nteeirs,NTEE assigned by IRS,NTEE code assigned by IRS (includes NTEE-CC & XP codes),Other Classification,Character,6,2006-2011,2006,2011,501C3-PRIVFOUND
NTEESRC,nteesrc,,,,,11,"1998, 2000-2004, 2007-2011",1998,2011,501C3-PRIVFOUND
NteeFinal,nteefinal,,,,,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND
NteeFinal1,nteefinal1,,,,,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND
ORGCD,orgcd,"Corporation, trust, assoc,etc.","Organization code: corporation, trust, association, etc.",Other Classification,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND
OUTNCCS,outnccs,Out of Scope flag,Out-of-scope (IN/OUT) (see OUTREAS doc. for details),Basic Info,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND
OUTNCCSold20090616,outnccsold20090616,,,,,17,"1989-1992, 1994-2006",1989,2006,501C3-PRIVFOUND
OUTREAS,outreas,Reason why out of scope,Reason why out of scope,Basic Info,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND
OUTREASold20090616,outreasold20090616,,,,,17,"1989-1992, 1994-2006",1989,2006,501C3-PRIVFOUND
P10MIR,p10mir,"Minimum investment return, line 6","Minimum investment return: 5% of line 5, net value of noncharitable-use assets (Part X, line 6)","Parts X, XI, and XIII: Minimum Investment Return, Distributable Amount, and Undistributed Income",Numeric,19,"1992, 1994-2011",1992,2011,501C3-PRIVFOUND
P10TASST,p10tasst,"Total noncharitable-use assets, line 1d","Total fair market value of assets not used (or held for use) directly in carrying out charitable, etc., purposes (add lines 1a, b, and c) (Part X, line 1d)","Parts X, XI, and XIII: Minimum Investment Return, Distributable Amount, and Undistributed Income",Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND
P11DISTR,p11distr,"Distributable amount, line 7","Distributable amount (Part XI, line 7)","Parts X, XI, and XIII: Minimum Investment Return, Distributable Amount, and Undistributed Income",Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND
P13UNDST,p13undst,"Undistributed income, line 6f(d)","Undistributed income for xxxx. This amount must be distributed in following year. (Part XIII, line 6f(d))","Parts X, XI, and XIII: Minimum Investment Return, Distributable Amount, and Undistributed Income",Numeric,19,"1992, 1994-2011",1992,2011,501C3-PRIVFOUND
P14A4942,p14a4942,"Qualifying assets - current yr, line 3a(2)(a)","Assets alternative test - value of assets qualifying under section 4942 - current year (Part XIV, line 3a(2)(a))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND
P14ASVLA,p14asvla,"Value of assets - current yr, line 3a(1)(a)","Assets alternative test - value of all assets - current year (Part XIV, line 3a(1)(a))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND
P14ASVLB,p14asvlb,"Value of assets - prior yr 1, line 3a(1)(b)","Assets alternative test - value of all assets - prior year 1 (Part XIV, line 3a(1)(b))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND
P14ASVLC,p14asvlc,"Value of assets - prior yr 2, line 3a(1)(c)","Assets alternative test - value of all assets - prior year 2 (Part XIV, line 3a(1)(c))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND
P14ASVLD,p14asvld,"Value of assets - prior yr 3, line 3a(1)(d)","Assets alternative test - value of all assets - prior year 3 (Part XIV, line 3a(1)(d))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND
P14B4942,p14b4942,"Qualifying assets - prior yr 1, line 3a(2)(b)","Assets alternative test - value of assets qualifying under section 4942 - prior year 1 (Part XIV, line 3a(2)(b))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND
P14C4942,p14c4942,"Qualifying assets - prior yr 2, line 3a(2)(c)","Assets alternative test - value of assets qualifying under section 4942 - prior year 2 (Part XIV, line 3a(2)(c))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND
P14D4942,p14d4942,"Qualifying assets - prior yr 3, line 3a(2)(d)","Assets alternative test - value of assets qualifying under section 4942 - prior year 3 (Part XIV, line 3a(2)(d))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND
P14ENDWA,p14endwa,"Endow. alt. test - current yr, line 3b(a)","Endowment alternative test--Enter 2/3 of minimum investment return shown in Part X, line 6 - current year (Part XIV, line 3b(a))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND
P14ENDWB,p14endwb,"Endow. alt. test - prior yr 1, line 3b(b)","Endowment alternative test--Enter 2/3 of minimum investment return shown in Part X, line 6 - prior year 1 (Part XIV, line 3b(b))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND
P14ENDWC,p14endwc,"Endow. alt. test - prior yr 2, line 3b(c)","Endowment alternative test--Enter 2/3 of minimum investment return shown in Part X, line 6 - prior year 2 (Part XIV, line 3b(c))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND
