source_column,harmonized_name,label,description,section,dtype,n_tax_years,years_present,first_year,last_year,scope_observed
P14ENDWD,p14endwd,"Endow. alt. test - prior yr 3, line 3b(d)","Endowment alternative test--Enter 2/3 of minimum investment return shown in Part X, line 6 - prior year 3 (Part XIV, line 3b(d))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND
P14GINVA,p14ginva,"Gross Inv. Inc. - current yr, line 3c(4)(a)","Gross investment income - current year (Part XIV, line 3c(4)(a))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND
P14GINVB,p14ginvb,"Gross Inv. Inc. - prior yr 1, line 3c(4)(b)","Gross investment income - prior year 1 (Part XIV, line 3c(4)(b))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND
P14GINVC,p14ginvc,"Gross Inv. Inc. - prior yr 2, line 3c(4)(c)","Gross investment income - prior year 2 (Part XIV, line 3c(4)(c))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND
P14GINVD,p14ginvd,"Gross Inv. Inc. - prior yr 3, line 3c(4)(d)","Gross investment income - prior year 3 (Part XIV, line 3c(4)(d))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND
P14NADJA,p14nadja,"Adj. Net Inc. or MIR - current yr, line 2a(a)","Adjusted Net Income or Minimum Investement Income - current year (Part XIV, line 2a(a))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND
P14NADJB,p14nadjb,"Adj. Net Inc. or MIR - prior yr 1, line 2a(b)","Adjusted Net Income or Minimum Investement Income - prior year 1 (Part XIV, line 2a(b))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND
P14NADJC,p14nadjc,"Adj. Net Inc. or MIR - prior yr 2, line 2a(c)","Adjusted Net Income or Minimum Investement Income - prior year 2 (Part XIV, line 2a(c))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND
P14NADJD,p14nadjd,"Adj. Net Inc. or MIR - prior yr 3, line 2a(d)","Adjusted Net Income or Minimum Investement Income - prior year 3 (Part XIV, line 2a(d))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND
P14PSUPA,p14psupa,"Gen. pub. support - current yr, line 3c(2)(a)","Support from general public and 5 or more exempt organizations as provided in section 4942 - current year (Part XIV, line 3c2(a))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND
P14PSUPB,p14psupb,"Gen. pub. support - prior yr 1, line 3c(2)(b)","Support from general public and 5 or more exempt organizations as provided in section 4942 - prior year 1 (Part XIV, line 3c2(b))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND
P14PSUPC,p14psupc,"Gen. pub. support - prior yr 2, line 3c(2)(c)","Support from general public and 5 or more exempt organizations as provided in section 4942 - prior year 2 (Part XIV, line 3c(c))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND
P14PSUPD,p14psupd,"Gen. pub. support - prior yr 3, line 3c(2)(d)","Support from general public and 5 or more exempt organizations as provided in section 4942 - prior year 3 (Part XIV, line 3c2(d))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND
P14QDISA,p14qdisa,"Qualifying dist. - current yr, line 2c(a)","Qualifying distributions from Part XII, line 4 - current year (Part XIV, line 2c(a))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND
P14QDISB,p14qdisb,"Qualifying dist. - prior yr 1, line 2c(b)","Qualifying distributions from Part XII, line 4 - prior year 1 (Part XIV, line 2c(b))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND
P14QDISC,p14qdisc,"Qualifying dist. - prior yr 2, line 2c(c)","Qualifying distributions from Part XII, line 4 - prior year 2 (Part XIV, line 2c(c))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND
P14QDISD,p14qdisd,"Qualifying dist. - prior yr 3, line 2c(d)","Qualifying distributions from Part XII, line 4 - prior year 3 (Part XIV, line 2c(d))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND
P14T4942,p14t4942,"Qualifying assets - 4 yr total, line 3a(2)(e)","Assets alternative test - value of assets qualifying under section 4942 (Total of Last 4 Years) (Part XIV, line 3a(2)(e))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND
P14TASVL,p14tasvl,"Value of assets - 4 yr total, line 3a(1)(e)","Assets alternative test - value of all assets (Total of Last 4 Years) (Part XIV, line 3a(1)(e))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND
P14TENDW,p14tendw,"Endow. alt. test - 4 yr total, line 3b(e)","Endowment alternative test (Total of Last 4 Years)--Enter 2/3 of minimum investment return shown in Part X, line 6 (Part XIV, line 3b(e))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND
P14TGINV,p14tginv,"Gross Inv. Inc. - 4 yr total, line 3c(4)(e)","Gross investment income (Total of Last 4 Years) (Part XIV, line 3c(4)(e))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND
P14TNADJ,p14tnadj,"Adj. Net Inc. or MIR - 4 yr total, line 2a(e)","Adjusted Net Income (Total of last 4 years) (Part XIV, line 2a(e))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND
P14TPSUP,p14tpsup,"Gen. pub. support - 4 yr total, line 3c(2)(e)","Support from general public and 5 or more exempt organizations as provided in section 4942 (Total of Last 4 Years) (Part XIV, line 3c2(e))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND
P14TQDIS,p14tqdis,"Qualifying dist. - 4 yr total, line 2c(e)","Qualifying distributions from Part XII, line 4 (Total Last 4 Years) (Part XIV, line 2c(e))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND
P14TSUPA,p14tsupa,"Total support - current yr, line 3c(1)(a)","Total support other than gross investment income (interest, dividends, rents, payments on securities loans (section 512(a)(5)), or royalties) - current year (Part XIV, line 3c1(a))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND
P14TSUPB,p14tsupb,"Total support - prior yr 1, line 3c(1)(b)","Total support other than gross investment income (interest, dividends, rents, payments on securities loans (section 512(a)(5)), or royalties) - prior year 1 (Part XIV, line 3c1(b))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND
P14TSUPC,p14tsupc,"Total support - prior yr 2, line 3c(1)(c)","Total support other than gross investment income (interest, dividends, rents, payments on securities loans (section 512(a)(5)), or royalties) - prior year 2 (Part XIV, line 3c1(c))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND
P14TSUPD,p14tsupd,"Total support - prior yr 3, line 3c(1)(d)","Total support other than gross investment income (interest, dividends, rents, payments on securities loans (section 512(a)(5)), or royalties) - prior year 3 (Part XIV, line 3c1(d))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND
P14TTSUP,p14ttsup,"Total support - 4 yr total, line 3c(1)(e)","Total support other than gross investment income (interest, dividends, rents, payments on securities loans (section 512(a)(5)), or royalties) (Total of Last 4 Years) (Part XIV, line 3c1(e))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND
P1ADMEXP,p1admexp,"Total op. and admin. exp. per books, line 24(a)","Total operating and administrative expenses as per books (add lines 13 through 23) (Part I, line 24(a))","Part I: Revenue, Expenses, and Net Income",Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND
P1CHAEXP,p1chaexp,"Total charity op. and admin. exp., line 24(d)","Total disbursements for charitable purposes (cash basis) operating and administrative expenses (add lines 13 through 23) (Part I, line 24(d))","Part I: Revenue, Expenses, and Net Income",Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND
P1CONTPD,p1contpd,"Contributions paid per books, line 25(a)","Contributions, gifts, grants paid as per books (Part I, line 25(a))","Part I: Revenue, Expenses, and Net Income",Numeric,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND
P1DIVID,p1divid,"Dividends, line 4(a)","Dividends and interest from securities (Part I, line 4(a))","Part I: Revenue, Expenses, and Net Income",Numeric,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND
P1EXCREV,p1excrev,"Excess revenue over exp. per books, line 27a","Excess of revenue over expenses and disbursements as per books (line 12 minus 26) (Part I, line 27a)","Part I: Revenue, Expenses, and Net Income",Numeric,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND
P1GINVPF,p1ginvpf,"Gross profit on sales, line 10c(a)","Gross profit or (loss) on sales (gross sales less cost of goods sold) (Part I, line 10c(a))","Part I: Revenue, Expenses, and Net Income",Numeric,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND
P1GOODS,p1goods,,,,,12,2000-2011,2000,2011,501C3-PRIVFOUND
P1GRENTS,p1grents,"Gross Rents, line 5a(a)","Gross rents (Part I, line 5a(a))","Part I: Revenue, Expenses, and Net Income",Numeric,16,1996-2011,1996,2011,501C3-PRIVFOUND
P1INTREV,p1intrev,"Interest on savings, line 3(a)","Interest on savings and temporary cash investments (Part I, line 3(a))","Part I: Revenue, Expenses, and Net Income",Numeric,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND
P1INVEXP,p1invexp,"Total investment op. and admin. exp., line 24(b)","Total investment operating and administrative expenses (add lines 13 through 23) (Part I, line 24(b))","Part I: Revenue, Expenses, and Net Income",Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND
P1INVRV,p1invrv,"Total investment income, line 12(b)","Total investment income (add lines 1 through 11) (Part I, line 12(b))","Part I: Revenue, Expenses, and Net Income",Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND
P1NADINC,p1nadinc,"Adjusted net income, line 27c","Adjusted net income (line 12 minus 26, enter 0 if negative) (Part I, line 27c)","Part I: Revenue, Expenses, and Net Income",Numeric,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND
P1NADJRV,p1nadjrv,"Total adjusted income, line 12(c)","Total adjusted income (add lines 1 through 11) (Part I, line 12(c))","Part I: Revenue, Expenses, and Net Income",Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND
P1NETINV,p1netinv,"Net investment income, line 27b","Net investment income (line 12 minus 26, enter 0 if negative) (Part I, line 27b)","Part I: Revenue, Expenses, and Net Income",Numeric,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND
P1NGASTS,p1ngasts,"Net gain from sale of assets, line 6a(a)","Net gain from sale of assets not on line 10 (Part I, line 6a(a))","Part I: Revenue, Expenses, and Net Income",Numeric,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND
P1NLASTS,p1nlasts,"Net loss from sale of assets, line 6a(a)","Net loss from sale of assets not on line 10 (Part I, line 6a(a))","Part I: Revenue, Expenses, and Net Income",Numeric,10,"1989-1992, 1994-1996, 1999-2001",1989,2001,501C3-PRIVFOUND
P1OFCOMP,p1ofcomp,"Compensation of officers, line 13(a)","Compensation of officers, directors, trustees, etc. (Part I, line 13(a))","Part I: Revenue, Expenses, and Net Income",Numeric,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND
P1OTHINC,p1othinc,"Other income, line 11(a)","Other income (Part I, line 11(a))","Part I: Revenue, Expenses, and Net Income",Numeric,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND
P1TADJEX,p1tadjex,"Total adjusted income expenses, line 26(c)","Total adjusted income expenses and disbursements (lines 24 and 25) (Part I, line 26(c))","Part I: Revenue, Expenses, and Net Income",Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND
P1TCONT,p1tcont,"Contributions received, line 1(a)","Contributions, gifts, grants, etc., received (Part I, line 1(a))","Part I: Revenue, Expenses, and Net Income",Numeric,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND
P1TEXCTX,p1texctx,"Total excise tax, line 5","Total excise tax based on investment income (Part VI, line 5)",Part VI: Excise Tax Based on Investment Income,Numeric,7,"1989-1992, 1994-1996",1989,1996,501C3-PRIVFOUND
P1TEXMEX,p1texmex,"Total charity expenses, line 26(d)","Total expenses and disbursements for charitable purposes (cash basis) (lines 24 and 25) (Part I, line 26(d))","Part I: Revenue, Expenses, and Net Income",Numeric,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND
P1TINVEX,p1tinvex,"Total investment expenses, line 26(b)","Total investment expenses and disbursements (lines 24 and 25) (Part I, line 26(b))","Part I: Revenue, Expenses, and Net Income",Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND
P1TOTEXP,p1totexp,"Total expenses per books, line 26(a)","Total expenses and disbursements as per books (lines 24 and 25) (Part I, line 26(a))","Part I: Revenue, Expenses, and Net Income",Numeric,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND
P1TOTREV,p1totrev,"Total revenue per books, line 12(a)","Total revenue as per books (add lines 1 through 11) (Part I, line 12(a))","Part I: Revenue, Expenses, and Net Income",Numeric,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND
P2CASHBV,p2cashbv,"Cash, line 1(b)","Cash - non-interest-bearing, book value end of year (Part II, line 1(b))",Parts II and III: Balance Sheets and Net Assets,Numeric,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND
P2CRPBND,p2crpbnd,"Investments - corporate bonds, line 10c(b)","Investments - corporate bonds, book value end of year (Part II, line 10c(b))",Parts II and III: Balance Sheets and Net Assets,Numeric,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND
P2CRPSTK,p2crpstk,"Investments - corporate stock, line 10b(b)","Investments - corporate stock, book value end of year (Part II, line 10b(b))",Parts II and III: Balance Sheets and Net Assets,Numeric,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND
P2EYASST,p2eyasst,P2EYASST,P2EYASST,Parts II and III: Balance Sheets and Net Assets,Numeric,13,"1997-2003, 2006-2011",1997,2011,501C3-PRIVFOUND
P2EYOTIN,p2eyotin,"Investments - other, line 13(b)","Investments - other, book value end of year (Part II, line 13(b))",Parts II and III: Balance Sheets and Net Assets,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND
P2GVTINV,p2gvtinv,"Investments - govt. obligations, line 10a(b)","Investments - U.S. and state government obligations, book value end of year (Part II, line 10a(b))",Parts II and III: Balance Sheets and Net Assets,Numeric,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND
P2MORTG,p2mortg,"Investments - mortgage loans, line 12(b)","Investments - mortgage loans, book value end of year (Part II, line 12(b))",Parts II and III: Balance Sheets and Net Assets,Numeric,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND
P2MTGNTS,p2mtgnts,"Mortgages and notes payable, line 21(b)","Mortgages and oher notes payable, book value end of year (Part II, line 21(b))",Parts II and III: Balance Sheets and Net Assets,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND
P2TASFMV,p2tasfmv,"Total assets per market value, line 16(c)","Total assets, fair market value end of year (Part II, line 16(c))",Parts II and III: Balance Sheets and Net Assets,Numeric,21,"1989-1990, 1992, 1994-2011",1989,2011,501C3-PRIVFOUND
P2TINVSC,p2tinvsc,Total securities inv. - line 10a(b)+10b(b)+10c(b),"Total securities investments, book value end of year (Part II, line 10a(b)+10b(b)+10c(b))",Parts II and III: Balance Sheets and Net Assets,Numeric,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND
