source_var,harmonized_name,description,location,years_present,source
subtotpub509,public_support_subtotal_line7c_sec509,Public support subtotal (509),990-EZ Sch A_Pt III-7c(f),2013-2024,from_990
subtotsuppinc509,total_support_subtotal_sec509,Subtotal total support (509),990-EZ Sch A_Pt III-10c(f),2012-2024,from_990
tax_pd,tax_period,Tax period,Form 990-EZ Header,"2013,2016",from_990
taxpd,tax_period,Tax period,Form 990-EZ Header,2017-2024,ez_only
totassetsend,total_assets_eoy,Total assets e-o-y,990-EZ_Pt II-25B,2012-2024,from_990
totcntrbs,total_contributions,"Contributions, gifts, grants, etc received",990-EZ_Pt I-1,2012-2024,ez_only
totexcessyr,excess_or_deficit_for_year,Excess or deficit,990-EZ_Pt I-18,2012-2024,ez_only
totexpns,total_expenses,Total expenses,990-EZ_Pt I-17,2012-2024,ez_only
totgftgrntrcvd509,total_gifts_grants_received_sec509,Gifts grants membership fees received (509),990-EZ Sch A_Pt III-1(f),2012-2024,from_990
totliabend,total_liabilities_eoy,Total liabilities e-o-y,990-EZ_Pt II-26B,2012-2024,from_990
totnetassetsend,total_net_assets_eoy,Total net worth e-o-y,990-EZ_Pt II-27B,2012-2024,ez_only
totnoforgscnt,n_orgs_supported,Number of organizations supported,990-EZ Sch A_Pt I-11h,2017-2024,ez_only
totnooforgscnt,n_orgs_supported,Number of organizations supported,990-EZ Sch A_Pt I-11h,2013-2016,from_990
totrevnue,total_revenue,Total revenue,990-EZ_Pt I-9,2012-2024,ez_only
totsupp170,total_support_sec170,Total support (170),990-EZ Sch A_Pt II-11(f),2013-2016,from_990
totsupp509,total_support_sec509,Total support (509),990-EZ Sch A_Pt III-13(f),2012-2024,from_990
totsupport,total_support_amount,Sum of amounts of support,990-EZ Sch A_Pt I-11h(vii),2013-2024,from_990
totsupport170,total_support_sec170,Total support (170),990-EZ Sch A_Pt II-11(f),2017-2024,ez_only
txrevnuelevied170,tax_revenues_levied_sec170,Tax revenues levied (170),990-EZ Sch A_Pt II-2(f),2012-2024,from_990
txrevnuelevied509,tax_revenues_levied_sec509,Tax revenues levied (509),990-EZ Sch A_Pt III-4(f),2012-2024,from_990
unrelbusincd,unrelated_business_income_1k_cd,"UBI over $1,000?",990-EZ_Pt V-35a,2012-2024,ez_only
unreltxincls511tx509,net_ubi_line10b_sec509,Net UBI (509),990-EZ Sch A_Pt III-10b(f),2013-2024,from_990
tax_prd,tax_period,Tax period,Form 990-EZ Header,2012,from_990
taxprd,tax_period,Tax period,Form 990-EZ Header,2014,from_990
a_tax_prd,tax_period,Tax period,Form 990-EZ Header,2015,from_990
filedfyyn0polcd,filed_form_1120pol_cd,File Form 1120-POL? (2015 typo: Y for 1 and N for 2),990-EZ_Pt V-37b,2015,from_990
