source_column,harmonized_name,label,description,section,dtype,n_tax_years,years_present,first_year,last_year,scope_observed
A6NLBEB,a6nlbeb,Li38-li41 (0 If Li41>li38)-all Elect Org,Subtract line 38 from line 41 (0 if line 41>line 38)- col. B (all elct orgs.),"Schedule A, Part VI-A:  Lobbying Expenditures by Electing Public Charities",Character,11,1989-1999,1989,1999,501CE-NONPROFIT
A6NTLBB,a6ntlbb,Max. Nontax. Lobbying Amt-col. B (all),Maximum nontaxable lobbying amount Sch.A.VI.41b (all elct orgs.),"Schedule A, Part VI-A:  Lobbying Expenditures by Electing Public Charities",Character,3,1997-1999,1997,1999,501CE-NONPROFIT
A6OEXPB,a6oexpb,Oth. Exempt Purp. Exp.-col. B (all),Other exempt purpose expenditures- Sch.A.VI.39b (all elct orgs.),"Schedule A, Part VI-A:  Lobbying Expenditures by Electing Public Charities",Character,3,1997-1999,1997,1999,501CE-NONPROFIT
A6TGLBB,a6tglbb,Subtract Li42 fr. Li36 (0 If Li42>li36),Subtract line 42 from liine 36 (0 if line 42>line 36)- col. B (all elct orgs.),"Schedule A, Part VI-A:  Lobbying Expenditures by Electing Public Charities",Character,11,1989-1999,1989,1999,501CE-NONPROFIT
ACCPER,accper,Accounting period (MM),Accounting period,Miscellaneous,Character,23,1989-2011,1989,2011,501C3-CHARITIES|501CE-NONPROFIT
ACCPERMO,"",,,,,3,1997-1999,1997,1999,501CE-NONPROFIT
ACTIV,"",,,,,14,1997-2010,1997,2010,501C3-CHARITIES|501CE-NONPROFIT
ACTIV1,activ1,IRS Activity Code 1,First activity code.,Classification,Character,23,1989-2011,1989,2011,501C3-CHARITIES|501CE-NONPROFIT
ACTIV2,activ2,IRS Activity Code 2,Second activity code.,Classification,Character,23,1989-2011,1989,2011,501C3-CHARITIES|501CE-NONPROFIT
ACTIV3,activ3,IRS Activity Code 3,Third activity code.,Classification,Character,23,1989-2011,1989,2011,501C3-CHARITIES|501CE-NONPROFIT
ACTIVCD1,activcd1,IRS Activity Code 1,IRS Activity Code 1 chosen by organization when it applied for exemption,Classification,Character,11,1989-1999,1989,1999,501CE-NONPROFIT
ACTIVCD2,activcd2,IRS Activity Code 2,IRS Activity Code 2 chosen by organization when it applied for exemption,Classification,Character,3,1997-1999,1997,1999,501CE-NONPROFIT
ACTIVCD3,activcd3,IRS Activity Code 3,IRS Activity Code 3 chosen by organization when it applied for exemption,Classification,Character,3,1997-1999,1997,1999,501CE-NONPROFIT
ADDRESS,address,Address,Address,Basic Info,Character,23,1989-2011,1989,2011,501C3-CHARITIES|501CE-NONPROFIT
ADVRULDT,"",,,,,3,1997-1999,1997,1999,501CE-NONPROFIT
AFCD,afcd,Affiliation code,Affiliation code,Other Descriptive Info,Character,23,1989-2011,1989,2011,501C3-CHARITIES|501CE-NONPROFIT
AFFILCD,"",,,,,3,1997-1999,1997,1999,501CE-NONPROFIT
ARC,"",,,,,11,"1997-2002, 2004, 2007-2010",1997,2010,501C3-CHARITIES|501CE-NONPROFIT
ARED,ared,Advance Ruling Expiration Date,Advance Ruling Expiration Date,Other Descriptive Info,Character,22,1989-2010,1989,2010,501C3-CHARITIES|501CE-NONPROFIT
ASCD,ascd,Asset code,Asset code,Financial Info,Character,3,"1989-1990, 1992",1989,1992,501CE-NONPROFIT
ASSETCD,"",,,,,6,1994-1999,1994,1999,501CE-NONPROFIT
ASSETS,"",,,,,4,"1997-1999, 2004",1997,2004,501C3-CHARITIES|501CE-NONPROFIT
ASS_BOY,ass_boy,Total Assets - BOY,"Total assets at beginning of year Old 990 (DocCD=90): Part IV, Line 59, Col (A) New 990 (DocCD=93): Part X Line 16 (A) 990EZ (DocCD=09 and 92): Part II, Line 25, Col (A)",Balance Sheet,Numeric,23,1989-2011,1989,2011,501C3-CHARITIES|501CE-NONPROFIT
ASS_CODE,"",,,,,11,"1997-2002, 2004, 2007-2010",1997,2010,501C3-CHARITIES|501CE-NONPROFIT
ASS_EOY,ass_eoy,Total Assets - EOY,"Total assets at end of year Old 990 (DocCD=90): Part IV, Line 59, Col (B) New 990 (DocCD=93): Part X Line 16 (B) 990EZ (DocCD=09 and 92): Part II, Line 25, Col (B)",Balance Sheet,Numeric,23,1989-2011,1989,2011,501C3-CHARITIES|501CE-NONPROFIT
AdminExpCode,adminexpcode,"","Mangement and General Code (Identifies which file the estimate was taken from SOI, Core, etc.)",Supplemental fields (Authorized Users Only),Character,4,2007-2010,2007,2010,501C3-CHARITIES
AdminExpEstimate,adminexpestimate,"",Management and general Estimate,Supplemental fields (Authorized Users Only),Numeric,4,2007-2010,2007,2010,501C3-CHARITIES
AdminExpYr,adminexpyr,"",Managment and general Estimate Year (Identifies the Fiscal Year from which the estimate was taken),Supplemental fields (Authorized Users Only),Numeric,4,2007-2010,2007,2010,501C3-CHARITIES
BOND_BOY,bond_boy,Tax Exempt Bonds - BOY,"Tax exempt bonds at beginning of year Old 990 (DocCD=90): Part IV, Line 64a, Col (A) New 990 (DocCD=93) and 990EZ (DocCD=09 and 92): Not available",Balance Sheet,Numeric,15,1997-2011,1997,2011,501C3-CHARITIES|501CE-NONPROFIT
BOND_EOY,bond_eoy,Tax Exempt Bonds - EOY,"Tax exempt bonds at end of year Old 990 (DocCD=90): Part IV, Line 64a, Col (B) New 990 (DocCD=93): Part X Line 20 (B) 990EZ (DocCD=09 and 92): Not Available",Balance Sheet,Numeric,23,1989-2011,1989,2011,501C3-CHARITIES|501CE-NONPROFIT
CATEGORY,"",,,,,4,1995-1998,1995,1998,501C3-CHARITIES
CITY,city,City,City,Basic Info,Character,23,1989-2011,1989,2011,501C3-CHARITIES|501CE-NONPROFIT
CLASSCD,classcd,Classification code-brkdwn of,IRS Classification code,Other Classification,Character,23,1989-2011,1989,2011,501C3-CHARITIES|501CE-NONPROFIT
CODE990,"",,,,,21,1990-2010,1990,2010,501C3-CHARITIES|501CE-NONPROFIT
COMPENS,compens,Compensation of Officers,"Compensation of officers Old 990 (DocCD=90): Part II, Line 25a, Col (A) New 990 (DocCD=93): Part IX Line 5 (A) 990EZ (DocCD=09 and 92): Not Available","Revenues, Expenses, and Change in Net Assets",Numeric,23,1989-2011,1989,2011,501C3-CHARITIES|501CE-NONPROFIT
CONT,cont,Total Contributions,"Total contributions, gifts, and grants Old 990 (DocCD=90): Part I, Line 1e New 990 (DocCD=93): Part VIII Line 1h 990EZ (DocCD=09 and 92): Part I, Line 1","Revenues, Expenses, and Change in Net Assets",Numeric,23,1989-2011,1989,2011,501C3-CHARITIES|501CE-NONPROFIT
CONT4,cont4,Total Gifts and Grants,"Total gifts, grants, and contributions received Old 990 (DocCD=90) and Old 990EZ (DocCD=09): Sch A, Part IV-A, Line 15, Col (e) New 990 (DocCD=93) and New 990EZ (DocCD=92): Not available",Schedule A,Numeric,14,1997-2010,1997,2010,501C3-CHARITIES|501CE-NONPROFIT
CONTACT,contact,Contact person (from IRS files,Contact person (from IRS files),Other Descriptive Info,Character,23,1989-2011,1989,2011,501C3-CHARITIES|501CE-NONPROFIT
CYCLE,"",,,,,12,"1997-2002, 2004, 2006-2010",1997,2010,501C3-CHARITIES|501CE-NONPROFIT
CashCode,cashcode,Code for Cash,Code for Estimated Cash,Supplemental fields (Authorized Users Only),Character,13,1998-2010,1998,2010,501C3-CHARITIES
CashEstimate,cashestimate,Cash,Estimated Cash,Supplemental fields (Authorized Users Only),Numeric,13,1998-2010,1998,2010,501C3-CHARITIES
CashYr,cashyr,Year of Cash,Year of Estimated Cash,Supplemental fields (Authorized Users Only),Numeric,13,1998-2010,1998,2010,501C3-CHARITIES
Confidence,"",,,,,15,1989-2003,1989,2003,501CE-NONPROFIT
Confidence2007a,"",,,,,17,1989-2005,1989,2005,501CE-NONPROFIT
DEDUCTCD,deductcd,IRS deductability code,IRS Deductibility code,Other Classification,Character,23,1989-2011,1989,2011,501C3-CHARITIES|501CE-NONPROFIT
DIREXP,direxp,Special Events Expenses,"Special events direct expenses Old 990 (DocCD=90): Part I, Line 9b New 990 (DocCD=93): Sum of Part VIII Lines 8b and 9b 990EZ (DocCD=09 and 92): Part I, Line 6b","Revenues, Expenses, and Change in Net Assets",Numeric,21,1991-2011,1991,2011,501C3-CHARITIES|501CE-NONPROFIT
DISTRICT,district,IRS District Ofc.,IRS District Office,Other Descriptive Info,Character,21,1989-2009,1989,2009,501C3-CHARITIES|501CE-NONPROFIT
DLN,dln,Document locator number,Document Locator Number used by the IRS,Internal Processing,Character,11,2000-2010,2000,2010,501C3-CHARITIES|501CE-NONPROFIT
DOCLOCNO,"",,,,,3,1997-1999,1997,1999,501CE-NONPROFIT
DUES,dues,Dues,"Membership dues and assessments Old 990 (DocCD=90): Part I, Line 3 Old 990EZ (DocCD=09): Part I, Line 3 New 990 (DocCD=93): Not available - Amounts reported as DUES in Part I, Line 3 of Form 990 prior to 2008 are reported as Program Service Revenue in Part VIII, Line 2g of New 990 (see PROGREV) New 990EZ (DocCD=92): Not available - DUES amounts reported in Part I, Line 3 of New 990EZ were not available from the IRS for New 990EZ returns for this period. IMPORTANT NOTE: Amounts reported as DUES in Part I, Line 3 of Form 990 prior to tax year 2008 are reported as Program Service Revenue in Part VIII, Line 2g (PROGREV) of Form 990 beginning in tax year 2008. For this reason, DUES is not available in Core PC and CO files circa 2011 and newer. For this reason, the following adjustment will be necessary for comparison of PROGREV and DUES revenue components in Core files prior to 2011: [PROGREV+DUES in Core files prior to 2011] = [PROGREV in Core files 2011 and later]. Due to Form 990 revisions in tax year 2008: NCCS strongly recommends combining DUES and PROGREV revenue components for all analysis involving Core files containing both Old 990 (DocCD=90) and New 990 (DocCD=93) return data (Core files 2008-2010), and for all time-series analysis spanning Core file years 2008 and newer.","Revenues, Expenses, and Change in Net Assets",Numeric,22,1989-2010,1989,2010,501C3-CHARITIES|501CE-NONPROFIT
DUES4,dues4,Total Membership Fees,"Total membership fees received Old 990 (DocCD=90) and Old 990EZ (DocCD=09): Sch A, Part IV-A, Line 16, Col (e) New 990 (DocCD=93) and New 990EZ (DocCD=92): Not available",Schedule A,Numeric,14,1997-2010,1997,2010,501C3-CHARITIES|501CE-NONPROFIT
DirSupCode,dirsupcode,Code for Direct public support,Code for Estimated Direct public support,Supplemental fields (Authorized Users Only),Character,14,1998-2011,1998,2011,501C3-CHARITIES
DirSupEstimate,dirsupestimate,Direct public support,Estimated Direct public support,Supplemental fields (Authorized Users Only),Numeric,14,1998-2011,1998,2011,501C3-CHARITIES
DirSupYr,dirsupyr,Year of Direct public support,Year of Estimated Direct public support,Supplemental fields (Authorized Users Only),Numeric,14,1998-2011,1998,2011,501C3-CHARITIES
DocCD,doccd,990 Document Type Code,"A 2-digit code identifying type of Form 990 (990, 990-EZ, or 990-PF), and form revision (form revision 2007 and earlier vs. 2008 and later). Document Code is the 4th and 5th digits of the DLN assigned by the IRS.",Miscellaneous,Character,10,2002-2011,2002,2011,501C3-CHARITIES|501CE-NONPROFIT
EIN,ein,Employer Identification Number,Employer identification number.,Basic Info,Character,23,1989-2011,1989,2011,501C3-CHARITIES|501CE-NONPROFIT
ENDDATE,"",,,,,10,1989-1998,1989,1998,501C3-CHARITIES
EOSTATUS,"",,,,,12,"1997-2002, 2004, 2007-2011",1997,2011,501C3-CHARITIES|501CE-NONPROFIT
EOY,"",,,,,3,"2007, 2009-2010",2007,2010,501C3-CHARITIES|501CE-NONPROFIT
EXGRROOT,exgrroot,Excess Grass Roots Exp,"Excess grass roots expenditures - subtract line 42 from line 36. Enter -0- if line 42 is more than line 36 Old 990 (DocCD=90) and Old 990EZ (DocCD=09): Sch A, Part VI-A, Line 43, Col (b) New 990 (DocCD=93) and New 990EZ (DocCD=92): Not available",Schedule A,Numeric,22,1989-2010,1989,2010,501C3-CHARITIES|501CE-NONPROFIT
EXLOBEXP,exlobexp,Excess Lobbying Exp,"Excess lobbying expenditures - subtract line 41 from line 38. Enter -0- if line 41 is more than line 38 Old 990 (DocCD=90) and Old 990EZ (DocCD=09): Sch A, Part VI-A, Line 44, Col (b) New 990 (DocCD=93) and New 990EZ (DocCD=92): Not available",Schedule A,Numeric,22,1989-2010,1989,2010,501C3-CHARITIES|501CE-NONPROFIT
EXPS,exps,Total Expenses,"Total expenses Old 990 (DocCD=90): Part I, Line 17 New 990 (DocCD=93): Part IX Line 25 (A) 990EZ (DocCD=09 and 92): Part I, Line 17","Revenues, Expenses, and Change in Net Assets",Numeric,23,1989-2011,1989,2011,501C3-CHARITIES|501CE-NONPROFIT
FILER,filer,990 filing w/n 2 years? (Y/N),Filed 990 return within 24 months of BMF file? (Y/N),Basic Info,Character,8,1989-1996,1989,1996,501CE-NONPROFIT
FILREQCD,"",,,,,3,1997-1999,1997,1999,501CE-NONPROFIT
FIPS,fips,State + County FIPS code,2-digit State + 3-digit County FIPS code (Federal Information Processing Standard). See also U.S. Census Bureau State & County QuickFacts .,Basic Info,Character,23,1989-2011,1989,2011,501C3-CHARITIES|501CE-NONPROFIT
FISYR,fisyr,Fiscal year,Fiscal year (ending year),Basic Info,Character,23,1989-2011,1989,2011,501C3-CHARITIES|501CE-NONPROFIT
FNDCD,"",,,,,4,1995-1998,1995,1998,501C3-CHARITIES
FNDNCD,fndncd,Reason for 501(c)(3) status,"Reason for & type of 501(c)(3) exempt status including codes for operating and grantmaking foundations, and broad type of public charity",Other Descriptive Info,Character,23,1989-2011,1989,2011,501C3-CHARITIES|501CE-NONPROFIT
FRCD,frcd,Filing Requirement Code,Filing requirements code. The 1st 2 characters indicate the requirements for 990/990-EZ forms. The 3rd character = 1 if a 990-PF is required or 0 if not.,Other Descriptive Info,Character,23,1989-2011,1989,2011,501C3-CHARITIES|501CE-NONPROFIT
FUNDBAL,fundbal,Net Assets - EOY,"Net assets or fund balances at end of year Old 990 (DocCD=90): Part I, Line 21 New 990 (DocCD=93): Part I Line 22 (End of Year) 990EZ (DocCD=09 and 92): Part II, Line 27, Col (B)","Revenues, Expenses, and Change in Net Assets",Numeric,23,1989-2011,1989,2011,501C3-CHARITIES|501CE-NONPROFIT
FUNDFEES,fundfees,Professional Fundraising Fees,"Professional fundraising fees Old 990 (DocCD=90): Part II, Line 30, Col (A) or (D) New 990 (DocCD=93): Part IX Line 11e (A) 990EZ (DocCD=09 and 92): Not Available","Revenues, Expenses, and Change in Net Assets",Numeric,23,1989-2011,1989,2011,501C3-CHARITIES|501CE-NONPROFIT
FUNDINC,fundinc,Special Events Net Income,"Net income from special events and activities Old 990 (DocCD=90): Part I, Line 9c New 990 (DocCD=93): Sum of Part VIII Line 8c (A) and 9c (A) 990EZ (DocCD=09 and 92): Part I, Line 6c","Revenues, Expenses, and Change in Net Assets",Numeric,23,1989-2011,1989,2011,501C3-CHARITIES|501CE-NONPROFIT
FY_97,"",,,,,3,1996-1998,1996,1998,501C3-CHARITIES
FipsOld,"",,,,,12,"1989-1999, 2004",1989,2004,501C3-CHARITIES|501CE-NONPROFIT
FipsOldA,"",,,,,16,1989-2004,1989,2004,501C3-CHARITIES|501CE-NONPROFIT
GEN,gen,Group Exemption Number,Group Exemption Number,Other Descriptive Info,Character,23,1989-2011,1989,2011,501C3-CHARITIES|501CE-NONPROFIT
GOODS,goods,Inventory Cost of Goods Sold,"Inventory cost of goods sold Old 990 (DocCD=90): Part I, Line 10b New 990 (DocCD=93): Part VIII Line 10b 990EZ (DocCD=09 and 92): Part I, Line 7b","Revenues, Expenses, and Change in Net Assets",Numeric,23,1989-2011,1989,2011,501C3-CHARITIES|501CE-NONPROFIT
GRINC,"",,,,,22,1989-2010,1989,2010,501C3-CHARITIES|501CE-NONPROFIT
GROSSINC,grossinc,"Gr.income (gr.rec.-1d,3,8b,10b","Gross income, Gross Receipts minus (lines 1d + 3 + 8b + 10b)",Part II:  Statement of Functional Expenses,Numeric,11,1989-1999,1989,1999,501CE-NONPROFIT
GROSSREC,grossrec,Gross receipts,"Gross receipts, Sum of Part I total revenue + 6b + 8b (both columns) + 9b + 10b",Part II:  Statement of Functional Expenses,Numeric,11,1989-1999,1989,1999,501CE-NONPROFIT
GRPROF,grprof,Inventory Gross Profit,"Gross profit/loss from sales of inventory Old 990 (DocCD=90): Part I, Line 10c New 990 (DocCD=93): Part VIII Line 10c (A) 990EZ (DocCD=09 and 92): Part I, Line 7c","Revenues, Expenses, and Change in Net Assets",Numeric,23,1989-2011,1989,2011,501C3-CHARITIES|501CE-NONPROFIT
GRREC,grrec,Total Gross Receipts (calculated),"Calculation of total gross receipts is based on version of Form 990/990EZ (see DocCD) Old 990 (DocCD=90): Part I, Line 8b(A), plus Line 8b(B), plus Line 6b, plus Line 9b, plus Line 10b, plus Line 12 New 990 (DocCD=93): Part VIII, Line 12, plus Line 6b(i), plus Line 6b(ii), plus Line 7b(i), plus Line 7b(ii), plus Line 8b, plus Line 9b, plus Line 10b 990EZ (DocCD=09 and 92): Part I, Line 5b, plus Line 6b, plus Line 7b, plus Line 9","Revenues, Expenses, and Change in Net Assets",Numeric,23,1989-2011,1989,2011,501C3-CHARITIES|501CE-NONPROFIT
GRREC4,grrec4,"Total Admissions, Sales, etc. Related to Purpose","Total gross receipts from admissions, merchandise or services, etc. related to charitable purpose Old 990 (DocCD=90) and Old 990EZ (DocCD=09): Sch A, Part IV-A, Line 17, Col (e) New 990 (DocCD=93) and New 990EZ (DocCD=92): Not available",Schedule A,Numeric,14,1997-2010,1997,2010,501C3-CHARITIES|501CE-NONPROFIT
GRRECMEM,grrecmem,Gross Income - Members,"501(c)(12) orgs - Gross income from members or shareholders Old 990 (DocCD=90): Part VI, Line 87a New 990 (DocCD=93): Part V Line 11a 990EZ (DocCD=09 and 92): Not Available",Other Information,Numeric,23,1989-2011,1989,2011,501C3-CHARITIES|501CE-NONPROFIT
GRRECOTH,grrecoth,Gross Income - Other,"501(c)(12) orgs - Gross income from other sources Old 990 (DocCD=90): Part VI, Line 87b New 990 (DocCD=93): Part V Line 11b 990EZ (DocCD=09 and 92): Not Available",Other Information,Numeric,23,1989-2011,1989,2011,501C3-CHARITIES|501CE-NONPROFIT
GRRECPUB,grrecpub,Income Public Use of Facilities,"501(c)(7) orgs - Gross receipts for public use of club facilities Old 990 (DocCD=90): Part VI, Line 86b New 990 (DocCD=93): Part V Line 10b 990EZ (DocCD=09 and 92): Part V, Line 39b",Other Information,Numeric,23,1989-2011,1989,2011,501C3-CHARITIES|501CE-NONPROFIT
GRROOT,grroot,Grass Roots Expenses,"Total lobbying expenditures to influence public opinion (grassroots lobbying) Old 990 (DocCD=90) and Old 990EZ (DocCD=09): Sch A, Part VI-A, Line 36, Col (b) New 990 (DocCD=93) and New 990EZ (DocCD=92): Not available",Schedule A,Numeric,22,1989-2010,1989,2010,501C3-CHARITIES|501CE-NONPROFIT
GRTNONTX,grtnontx,Grass Roots Nontaxable Amt,"Grassroots nontaxable amount (enter 25% of line 41) Old 990 (DocCD=90) and Old 990EZ (DocCD=09): Sch A, Part VI-A, Line 42, Col (b) New 990 (DocCD=93) and New 990EZ (DocCD=92): Not available",Schedule A,Numeric,14,1997-2010,1997,2010,501C3-CHARITIES|501CE-NONPROFIT
GVTSRV4,gvtsrv4,Total Govt Services/Facilities,"Services or facilities furnished by a governmental unit Old 990 (DocCD=90) and Old 990EZ (DocCD=09): Sch A, Part IV-A, Line 21, Col (e) New 990 (DocCD=93) and New 990EZ (DocCD=92): Not available",Schedule A,Numeric,14,1997-2010,1997,2010,501C3-CHARITIES|501CE-NONPROFIT
GovGtCode,govgtcode,Code for Contributions from government grants,Code for Estimated Contributions from government grants,Supplemental fields (Authorized Users Only),Character,15,1997-2011,1997,2011,501C3-CHARITIES
GovGtEstimate,govgtestimate,Contributions from government grants,Estimated Contributions from government grants,Supplemental fields (Authorized Users Only),Numeric,15,1997-2011,1997,2011,501C3-CHARITIES
GovGtYr,govgtyr,Year of Contributions from government grants,Year of Estimated Contributions from government grants,Supplemental fields (Authorized Users Only),Numeric,15,1997-2011,1997,2011,501C3-CHARITIES
INCCD,inccd,Income range code,Income range code,Financial Info,Character,3,"1989-1990, 1992",1989,1992,501CE-NONPROFIT
INCOME,"",,,,,4,"1997-1999, 2004",1997,2004,501C3-CHARITIES|501CE-NONPROFIT
INCOMECD,"",,,,,6,1994-1999,1994,1999,501CE-NONPROFIT
INCPURP4,incpurp4,"Total Support Less Sales, etc.","Total support less admissions, merchandise, etc. - line 23 less line 17 Old 990 (DocCD=90) and Old 990EZ (DocCD=09): Sch A, Part IV-A, Line 24, Col (e) New 990 (DocCD=93) and New 990EZ (DocCD=92): Not available",Schedule A,Numeric,14,1997-2010,1997,2010,501C3-CHARITIES|501CE-NONPROFIT
INC_CODE,"",,,,,11,"1997-2002, 2004, 2007-2010",1997,2010,501C3-CHARITIES|501CE-NONPROFIT
INFLEXP,inflexp,Direct Lobbying Expenses,"Total lobbying expenditures to influence a legislative body (direct lobbying) Old 990 (DocCD=90) and Old 990EZ (DocCD=09): Sch A, Part VI-A, Line 37, Col (b) New 990 (DocCD=93) and New 990EZ (DocCD=92): Not available",Schedule A,Numeric,22,1989-2010,1989,2010,501C3-CHARITIES|501CE-NONPROFIT
INITFEES,initfees,Initiation Fees,"501(c)(7) orgs - Initiation fees and capital contributions Old 990 (DocCD=90): Part VI, Line 86a New 990 (DocCD=93): Part V Line 10a 990EZ (DocCD=09 and 92): Part V, Line 39a",Other Information,Numeric,23,1989-2011,1989,2011,501C3-CHARITIES|501CE-NONPROFIT
INVENTG,inventg,Inventory Gross Sales,"Gross sales of inventory, less returns and allowances Old 990 (DocCD=90): Part I, Line 10a New 990 (DocCD=93): Part VIII Line 10a 990EZ (DocCD=09 and 92): Part I, Line 7a","Revenues, Expenses, and Change in Net Assets",Numeric,15,1997-2011,1997,2011,501C3-CHARITIES|501CE-NONPROFIT
INVINC,invinc,Total Investment Income,"Total investment income Old 990 (DocCD=90): Sum of Part I, Lines 4, 5, & 7 New 990 (DocCD=93): Part VIII Line 3A 990EZ (DocCD=09 and 92): Part I, Line 4","Revenues, Expenses, and Change in Net Assets",Numeric,23,1989-2011,1989,2011,501C3-CHARITIES|501CE-NONPROFIT
INVINC4,invinc4,Total Interest and Dividends,"Gross income from interest, dividends, payments on securities loans, etc. Old 990 (DocCD=90) and Old 990EZ (DocCD=09): Sch A, Part IV-A, Line 18, Col (e) New 990 (DocCD=93) and New 990EZ (DocCD=92): Not available",Schedule A,Numeric,14,1997-2010,1997,2010,501C3-CHARITIES|501CE-NONPROFIT
IndSupCode,indsupcode,Code for Indirect public support,Code for Estimated Indirect public support,Supplemental fields (Authorized Users Only),Character,14,1998-2011,1998,2011,501C3-CHARITIES
IndSupEstimate,indsupestimate,Indirect public support,Estimated Indirect public support,Supplemental fields (Authorized Users Only),Numeric,14,1998-2011,1998,2011,501C3-CHARITIES
IndSupYr,indsupyr,Year of Indirect public support,Year of Estimated Indirect public support,Supplemental fields (Authorized Users Only),Numeric,14,1998-2011,1998,2011,501C3-CHARITIES
InvOthCode,invothcode,Code for Other Investments,Code for Estimated Other Investments,Supplemental fields (Authorized Users Only),Character,13,1998-2010,1998,2010,501C3-CHARITIES
InvOthEstimate,invothestimate,Other Investments,Estimated Other Investments,Supplemental fields (Authorized Users Only),Numeric,13,1998-2010,1998,2010,501C3-CHARITIES
InvOthYr,invothyr,Year of Other Investments,Year of Estimated Other Investments,Supplemental fields (Authorized Users Only),Numeric,13,1998-2010,1998,2010,501C3-CHARITIES
InvSecCode,invseccode,Code for Investment Securities (other securities a,Code for Estimated Investment Securities (other securities and publicly traded securities),Supplemental fields (Authorized Users Only),Character,13,1998-2010,1998,2010,501C3-CHARITIES
InvSecEstimate,invsecestimate,Investment Securities (other securities and public,Estimated Investment Securities (other securities and publicly traded securities),Supplemental fields (Authorized Users Only),Numeric,13,1998-2010,1998,2010,501C3-CHARITIES
InvSecYr,invsecyr,Year of Investment Securities (other securities an,Year of Estimated Investment Securities (other securities and publicly traded securities),Supplemental fields (Authorized Users Only),Numeric,13,1998-2010,1998,2010,501C3-CHARITIES
LATITUDE,latitude,Latitude,Latitude,Miscellaneous,Numeric,4,"2006-2007, 2010-2011",2006,2011,501C3-CHARITIES|501CE-NONPROFIT
LBEBOYCode,lbeboycode,"Code for Land, Building and Equipment - beginning","Code for Estimated Land, Building and Equipment - beginning of year",Supplemental fields (Authorized Users Only),Character,13,1998-2010,1998,2010,501C3-CHARITIES
LBEBOYEstimate,lbeboyestimate,"Land, Building and Equipment - beginning of year","Estimated Land, Building and Equipment - beginning of year",Supplemental fields (Authorized Users Only),Numeric,13,1998-2010,1998,2010,501C3-CHARITIES
