source_column,harmonized_name,label,description,section,dtype,n_tax_years,years_present,first_year,last_year,scope_observed
A3LOBBY,a3lobby,Influence legislation?,"Organization attempted to influence legislation, sch.A.III.1","Schedule A, Part III: Statement About Activities",Character,11,1989-1999,1989,1999,501CE-NONPROFIT
A4A_BUST,a4a_bust,"Gross Receipts, Rel'd Bus.-col.E (tot)","Gross receipts from business related to charitable purpose- col. E (total) (Sch.A.IV-A,17)","Schedule A, Part IV:  Reason for Non-Private Foundation Status",Numeric,3,1997-1999,1997,1999,501CE-NONPROFIT
A4A_CNT,a4a_cnt,"Gifts, grants, contribs.-4yrs","Gifts, grants, and contributions received (total of last 4 years), Sch A, line 15(e)",Schedule A,Numeric,3,1997-1999,1997,1999,501CE-NONPROFIT
A4A_GVTT,a4a_gvtt,Srvcs. & Facil. fr. Govt.-col. E (tot),Value of services or facilities furnished by government without charge- col. E (total) (Sch.A.IV-A),"Schedule A, Part IV:  Reason for Non-Private Foundation Status",Numeric,3,1997-1999,1997,1999,501CE-NONPROFIT
A4A_IVST,a4a_ivst,"Gross Inc, Invest.-col. E (tot)",Gross income from investments- col. E (total) (Sch.A.IV-A),"Schedule A, Part IV:  Reason for Non-Private Foundation Status",Numeric,3,1997-1999,1997,1999,501CE-NONPROFIT
A4A_MEMT,a4a_memt,Memb. Fees Rec'd-col. E (tot),Membership fees received- col. E (total) (Sch.A.IV-A),"Schedule A, Part IV:  Reason for Non-Private Foundation Status",Numeric,3,1997-1999,1997,1999,501CE-NONPROFIT
A4A_OTHT,a4a_otht,Other Income- Col. E (tot),Other income- col. E (total) (Sch.A.IV-A),"Schedule A, Part IV:  Reason for Non-Private Foundation Status",Numeric,3,1997-1999,1997,1999,501CE-NONPROFIT
A4A_TAXT,a4a_taxt,Tax Rev.levied for Org.- Col. E (tot),Tax revenues levied on organization's behalf- col. E (total) (Sch.A.IV-A),"Schedule A, Part IV:  Reason for Non-Private Foundation Status",Numeric,3,1997-1999,1997,1999,501CE-NONPROFIT
A4A_TOTT,a4a_tott,"Tot., Ln. 15 to 22- Col. E (tot)",Total of lines 15 to 22- col. E (total) (Sch.A.IV-A),"Schedule A, Part IV:  Reason for Non-Private Foundation Status",Numeric,3,1997-1999,1997,1999,501CE-NONPROFIT
A6DLBYB,a6dlbyb,Tot. Direct Lbbyg Exp.-col. A (all),Total direct lobbying expense- Sch.A.VI-A.37b (all elct orgs.),"Schedule A, Part VI-A:  Lobbying Expenditures by Electing Public Charities",Character,11,1989-1999,1989,1999,501CE-NONPROFIT
A6GLBYB,a6glbyb,Tot. Grassroots Lbbyg Exp-col. A (all),Total grassroots lobbying expenditures- col. B (all elct orgs.),"Schedule A, Part VI-A:  Lobbying Expenditures by Electing Public Charities",Character,11,1989-1999,1989,1999,501CE-NONPROFIT
A6NGLBB,a6nglbb,Grsrts Ntax. Amt (25% Li41)-col. B (all),Maximum grassroots nontaxable amount (25% of line 41)- Sch.A.VI.42b (all elct orgs.),"Schedule A, Part VI-A:  Lobbying Expenditures by Electing Public Charities",Character,3,1997-1999,1997,1999,501CE-NONPROFIT
