source_column,harmonized_name,soi_current_candidate,candidate_match_type,candidate_match_score,candidate_match_via,label,description,section,dtype,n_tax_years,years_present,first_year,last_year,scope_observed,combined_years_present
DEDUCTCD,"","",below_threshold,0.2,"",IRS deductability code,IRS Deductibility code,Other Classification,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,""
DISTRICT,"","",below_threshold,0,"",IRS District Ofc.,IRS District Office,Other Descriptive Info,Character,20,"1989-1992, 1994-2009",1989,2009,501C3-PRIVFOUND,""
DLN,"","",below_threshold,0.090909091,"",Document Locator Number,A unique 14-digit identifier used by the IRS.,Miscellaneous,Character,12,1999-2010,1999,2010,501C3-PRIVFOUND,""
DocCD,"","",below_threshold,0.047619048,"",990 Document Type Code,"A 2-digit code identifying type of Form 990 (990, 990-EZ, or 990-PF), and form revision (form revision 2007 and earlier vs. 2008 and later). Document Code is the 4th and 5th digits of the DLN assigned by the IRS.",Miscellaneous,Character,4,"2007-2008, 2010-2011",2007,2011,501C3-PRIVFOUND,""
EIN,ein,ein,exact_source_name,,990pf:EIN,Employer Identification Number,Employer identification number.,Basic Info,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,"1989-1992, 1994-2016, 2020-2024"
EOSTATUS,"","",skipped_bmf_origin,,"","","","","",12,"1999-2001, 2003-2011",1999,2011,501C3-PRIVFOUND,""
FIPS,"","",below_threshold,0.066666667,"",State + County FIPS code,2-digit State + 3-digit County FIPS code (Federal Information Processing Standard). See also U.S. Census Bureau State & County QuickFacts .,Basic Info,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,""
FISYR,"","",below_threshold,0.25,"",Fiscal year,Fiscal year (ending year),Basic Info,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,""
FNDNCD,"","",below_threshold,0.111111111,"",Reason for 501(c)(3) status,"Reason for & type of 501(c)(3) exempt status including codes for operating and grantmaking foundations, and broad type of public charity",Other Descriptive Info,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,""
FRCD,"","",below_threshold,0.090909091,"",Filing Requirement Code,Filing requirements code. The 1st 2 characters indicate the requirements for 990/990-EZ forms. The 3rd character = 1 if a 990-PF is required or 0 if not.,Other Descriptive Info,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,""
GEN,"","",skipped_bmf_origin,,"","","","","",22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,""
INCCD,"","",skipped_bmf_origin,,"","","","","",6,"1989-1990, 1994-1996, 1999",1989,1999,501C3-PRIVFOUND,""
INC_CODE,"","",skipped_bmf_origin,,"","","","","",12,"1999-2001, 2003-2011",1999,2011,501C3-PRIVFOUND,""
LEVEL1,"","",below_threshold,0.125,"",Public charity or priv. fndn?,Public charity or private foundation?,Other Classification,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,""
LEVEL1old20090616,"","",skipped_bmf_origin,,"","","","","",17,"1989-1992, 1994-2006",1989,2006,501C3-PRIVFOUND,""
LEVEL2,"","",below_threshold,0.142857143,"",Reporting public charity group,Reporting public charity groups.,Other Classification,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,""
LEVEL2old20090616,"","",skipped_bmf_origin,,"","","","","",17,"1989-1992, 1994-2006",1989,2006,501C3-PRIVFOUND,""
LEVEL3,"","",below_threshold,0,"",Major NTEE category,Major NTEE category,Other Classification,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,""
LEVEL3old20090616,"","",skipped_bmf_origin,,"","","","","",17,"1989-1992, 1994-2006",1989,2006,501C3-PRIVFOUND,""
LEVEL4,"","",below_threshold,0,"",NTEE-CC Major Group,NTEE-CC Major Group,Other Classification,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,""
LEVEL4old20090616,"","",skipped_bmf_origin,,"","","","","",17,"1989-1992, 1994-2006",1989,2006,501C3-PRIVFOUND,""
LRC,"","",skipped_bmf_origin,,"","","","","",11,"1999-2001, 2003-2010",1999,2010,501C3-PRIVFOUND,""
MAJGRPB,"","",below_threshold,0.1,"",Major NTEE group,Major NTEE group plus hospitals and higher education,Classification,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,""
MSA_NECH,"","",below_threshold,0.142857143,"",Metropolitan Statistical Area,Metropolitan Statistical Area (NCCS file) ( list ),Basic Info,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,""
NAME,"","",below_threshold,0.166666667,"",Name of organization,Organization name.,Basic Info,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,""
NCCSKEY,"","",skipped_bmf_origin,,"","","","","",6,2006-2011,2006,2011,501C3-PRIVFOUND,""
NCCSKEY2,"","",skipped_bmf_origin,,"","","","","",6,2006-2011,2006,2011,501C3-PRIVFOUND,""
NTEE,"","",skipped_bmf_origin,,"","","","","",8,1998-2005,1998,2005,501C3-PRIVFOUND,""
NTEE1,"","",below_threshold,0,"",NTEE major group,NTEE major group (A-Z),Basic Info,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,""
NTEECC,"","",below_threshold,0.142857143,"",NTEECC primary purpose,NTEECC classification,Basic Info,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,""
NTEEIRS,"","",below_threshold,0.142857143,"",NTEE assigned by IRS,NTEE code assigned by IRS (includes NTEE-CC & XP codes),Other Classification,Character,6,2006-2011,2006,2011,501C3-PRIVFOUND,""
NTEESRC,"","",skipped_bmf_origin,,"","","","","",11,"1998, 2000-2004, 2007-2011",1998,2011,501C3-PRIVFOUND,""
NteeFinal,"","",skipped_bmf_origin,,"","","","","",22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,""
NteeFinal1,"","",skipped_bmf_origin,,"","","","","",22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,""
ORGCD,"","",below_threshold,0.125,"","Corporation, trust, assoc,etc.","Organization code: corporation, trust, association, etc.",Other Classification,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,""
OUTNCCS,"","",below_threshold,0.083333333,"",Out of Scope flag,Out-of-scope (IN/OUT) (see OUTREAS doc. for details),Basic Info,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,""
OUTNCCSold20090616,"","",skipped_bmf_origin,,"","","","","",17,"1989-1992, 1994-2006",1989,2006,501C3-PRIVFOUND,""
OUTREAS,"","",below_threshold,0,"",Reason why out of scope,Reason why out of scope,Basic Info,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,""
OUTREASold20090616,"","",skipped_bmf_origin,,"","","","","",17,"1989-1992, 1994-2006",1989,2006,501C3-PRIVFOUND,""
P10MIR,minimum_investment_return,net_value_noncharitable_assets,description_jaccard,0.5,990pf:VALNCHARITASSETS,"Minimum investment return, line 6","Minimum investment return: 5% of line 5, net value of noncharitable-use assets (Part X, line 6)","Parts X, XI, and XIII: Minimum Investment Return, Distributable Amount, and Undistributed Income",Numeric,19,"1992, 1994-2011",1992,2011,501C3-PRIVFOUND,"1992, 1994-2016, 2020-2024"
P10TASST,fair_mkt_value_assets_not_charitable_use,fair_mkt_value_assets_not_charitable_use,description_jaccard,0.409,990pf:TFAIRMRKTUNUSE,"Total noncharitable-use assets, line 1d","Total fair market value of assets not used (or held for use) directly in carrying out charitable, etc., purposes (add lines 1a, b, and c) (Part X, line 1d)","Parts X, XI, and XIII: Minimum Investment Return, Distributable Amount, and Undistributed Income",Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND,"1997-2016, 2020-2024"
P11DISTR,distributable_amount,distributable_amount,description_jaccard,0.5,990pf:DISTRIBAMT,"Distributable amount, line 7","Distributable amount (Part XI, line 7)","Parts X, XI, and XIII: Minimum Investment Return, Distributable Amount, and Undistributed Income",Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND,"1997-2016, 2020-2024"
P13UNDST,undistributed_income_current_yr,"",below_threshold,0.153846154,"","Undistributed income, line 6f(d)","Undistributed income for xxxx. This amount must be distributed in following year. (Part XIII, line 6f(d))","Parts X, XI, and XIII: Minimum Investment Return, Distributable Amount, and Undistributed Income",Numeric,19,"1992, 1994-2011",1992,2011,501C3-PRIVFOUND,"1992, 1994-2016, 2020-2024"
P14A4942,qualifying_assets_curr_yr,"",below_threshold,0.142857143,"","Qualifying assets - current yr, line 3a(2)(a)","Assets alternative test - value of assets qualifying under section 4942 - current year (Part XIV, line 3a(2)(a))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND,"1997-2016, 2020-2024"
P14ASVLA,value_assets_curr_yr,"",below_threshold,0.181818182,"","Value of assets - current yr, line 3a(1)(a)","Assets alternative test - value of all assets - current year (Part XIV, line 3a(1)(a))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND,"1997-2016, 2020-2024"
P14ASVLB,value_assets_prior1,"",below_threshold,0.181818182,"","Value of assets - prior yr 1, line 3a(1)(b)","Assets alternative test - value of all assets - prior year 1 (Part XIV, line 3a(1)(b))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND,"1997-2016, 2020-2024"
P14ASVLC,value_assets_prior2,"",below_threshold,0.181818182,"","Value of assets - prior yr 2, line 3a(1)(c)","Assets alternative test - value of all assets - prior year 2 (Part XIV, line 3a(1)(c))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND,"1997-2016, 2020-2024"
P14ASVLD,value_assets_prior3,"",below_threshold,0.181818182,"","Value of assets - prior yr 3, line 3a(1)(d)","Assets alternative test - value of all assets - prior year 3 (Part XIV, line 3a(1)(d))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND,"1997-2016, 2020-2024"
P14B4942,qualifying_assets_prior1,"",below_threshold,0.142857143,"","Qualifying assets - prior yr 1, line 3a(2)(b)","Assets alternative test - value of assets qualifying under section 4942 - prior year 1 (Part XIV, line 3a(2)(b))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND,"1997-2016, 2020-2024"
P14C4942,qualifying_assets_prior2,"",below_threshold,0.142857143,"","Qualifying assets - prior yr 2, line 3a(2)(c)","Assets alternative test - value of assets qualifying under section 4942 - prior year 2 (Part XIV, line 3a(2)(c))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND,"1997-2016, 2020-2024"
P14D4942,qualifying_assets_prior3,"",below_threshold,0.142857143,"","Qualifying assets - prior yr 3, line 3a(2)(d)","Assets alternative test - value of assets qualifying under section 4942 - prior year 3 (Part XIV, line 3a(2)(d))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND,"1997-2016, 2020-2024"
P14ENDWA,endowments_curr_yr,"",below_threshold,0.2,"","Endow. alt. test - current yr, line 3b(a)","Endowment alternative test--Enter 2/3 of minimum investment return shown in Part X, line 6 - current year (Part XIV, line 3b(a))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND,"1997-2016, 2020-2024"
P14ENDWB,endowments_prior1,"",below_threshold,0.2,"","Endow. alt. test - prior yr 1, line 3b(b)","Endowment alternative test--Enter 2/3 of minimum investment return shown in Part X, line 6 - prior year 1 (Part XIV, line 3b(b))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND,"1997-2016, 2020-2024"
P14ENDWC,endowments_prior2,"",below_threshold,0.2,"","Endow. alt. test - prior yr 2, line 3b(c)","Endowment alternative test--Enter 2/3 of minimum investment return shown in Part X, line 6 - prior year 2 (Part XIV, line 3b(c))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND,"1997-2016, 2020-2024"
P14ENDWD,endowments_prior3,"",below_threshold,0.2,"","Endow. alt. test - prior yr 3, line 3b(d)","Endowment alternative test--Enter 2/3 of minimum investment return shown in Part X, line 6 - prior year 3 (Part XIV, line 3b(d))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND,"1997-2016, 2020-2024"
P14GINVA,gross_investment_income_curr_yr,"",below_threshold,0.272727273,"","Gross Inv. Inc. - current yr, line 3c(4)(a)","Gross investment income - current year (Part XIV, line 3c(4)(a))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND,"1997-2016, 2020-2024"
P14GINVB,gross_investment_income_prior1,"",below_threshold,0.272727273,"","Gross Inv. Inc. - prior yr 1, line 3c(4)(b)","Gross investment income - prior year 1 (Part XIV, line 3c(4)(b))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND,"1997-2016, 2020-2024"
P14GINVC,gross_investment_income_prior2,"",below_threshold,0.272727273,"","Gross Inv. Inc. - prior yr 2, line 3c(4)(c)","Gross investment income - prior year 2 (Part XIV, line 3c(4)(c))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND,"1997-2016, 2020-2024"
P14GINVD,gross_investment_income_prior3,"",below_threshold,0.272727273,"","Gross Inv. Inc. - prior yr 3, line 3c(4)(d)","Gross investment income - prior year 3 (Part XIV, line 3c(4)(d))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND,"1997-2016, 2020-2024"
P14NADJA,adjusted_net_income_curr_yr,"",below_threshold,0.230769231,"","Adj. Net Inc. or MIR - current yr, line 2a(a)","Adjusted Net Income or Minimum Investement Income - current year (Part XIV, line 2a(a))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND,"1997-2016, 2020-2024"
P14NADJB,adjusted_net_income_prior1,"",below_threshold,0.230769231,"","Adj. Net Inc. or MIR - prior yr 1, line 2a(b)","Adjusted Net Income or Minimum Investement Income - prior year 1 (Part XIV, line 2a(b))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND,"1997-2016, 2020-2024"
P14NADJC,adjusted_net_income_prior2,"",below_threshold,0.230769231,"","Adj. Net Inc. or MIR - prior yr 2, line 2a(c)","Adjusted Net Income or Minimum Investement Income - prior year 2 (Part XIV, line 2a(c))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND,"1997-2016, 2020-2024"
P14NADJD,adjusted_net_income_prior3,"",below_threshold,0.230769231,"","Adj. Net Inc. or MIR - prior yr 3, line 2a(d)","Adjusted Net Income or Minimum Investement Income - prior year 3 (Part XIV, line 2a(d))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND,"1997-2016, 2020-2024"
P14PSUPA,public_support_curr_yr,"",below_threshold,0.16,"","Gen. pub. support - current yr, line 3c(2)(a)","Support from general public and 5 or more exempt organizations as provided in section 4942 - current year (Part XIV, line 3c2(a))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND,"1997-2016, 2020-2024"
P14PSUPB,public_support_prior1,"",below_threshold,0.16,"","Gen. pub. support - prior yr 1, line 3c(2)(b)","Support from general public and 5 or more exempt organizations as provided in section 4942 - prior year 1 (Part XIV, line 3c2(b))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND,"1997-2016, 2020-2024"
P14PSUPC,public_support_prior2,"",below_threshold,0.166666667,"","Gen. pub. support - prior yr 2, line 3c(2)(c)","Support from general public and 5 or more exempt organizations as provided in section 4942 - prior year 2 (Part XIV, line 3c(c))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND,"1997-2016, 2020-2024"
P14PSUPD,public_support_prior3,"",below_threshold,0.16,"","Gen. pub. support - prior yr 3, line 3c(2)(d)","Support from general public and 5 or more exempt organizations as provided in section 4942 - prior year 3 (Part XIV, line 3c2(d))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND,"1997-2016, 2020-2024"
P14QDISA,qualifying_distributions_curr_yr,"",below_threshold,0.181818182,"","Qualifying dist. - current yr, line 2c(a)","Qualifying distributions from Part XII, line 4 - current year (Part XIV, line 2c(a))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND,"1997-2016, 2020-2024"
P14QDISB,qualifying_distributions_prior1,"",below_threshold,0.181818182,"","Qualifying dist. - prior yr 1, line 2c(b)","Qualifying distributions from Part XII, line 4 - prior year 1 (Part XIV, line 2c(b))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND,"1997-2016, 2020-2024"
P14QDISC,qualifying_distributions_prior2,"",below_threshold,0.181818182,"","Qualifying dist. - prior yr 2, line 2c(c)","Qualifying distributions from Part XII, line 4 - prior year 2 (Part XIV, line 2c(c))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND,"1997-2016, 2020-2024"
P14QDISD,qualifying_distributions_prior3,"",below_threshold,0.181818182,"","Qualifying dist. - prior yr 3, line 2c(d)","Qualifying distributions from Part XII, line 4 - prior year 3 (Part XIV, line 2c(d))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND,"1997-2016, 2020-2024"
P14T4942,qualifying_assets_4yr_total,"",below_threshold,0.214285714,"","Qualifying assets - 4 yr total, line 3a(2)(e)","Assets alternative test - value of assets qualifying under section 4942 (Total of Last 4 Years) (Part XIV, line 3a(2)(e))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND,"1997-2016, 2020-2024"
P14TASVL,value_assets_4yr_total,"",below_threshold,0.272727273,"","Value of assets - 4 yr total, line 3a(1)(e)","Assets alternative test - value of all assets (Total of Last 4 Years) (Part XIV, line 3a(1)(e))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND,"1997-2016, 2020-2024"
P14TENDW,endowments_4yr_total,"",below_threshold,0.1875,"","Endow. alt. test - 4 yr total, line 3b(e)","Endowment alternative test (Total of Last 4 Years)--Enter 2/3 of minimum investment return shown in Part X, line 6 (Part XIV, line 3b(e))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND,"1997-2016, 2020-2024"
P14TGINV,gross_investment_income_4yr_total,gross_investment_income_4yr_total,description_jaccard,0.364,990pf:GRSINVSTINCTOT,"Gross Inv. Inc. - 4 yr total, line 3c(4)(e)","Gross investment income (Total of Last 4 Years) (Part XIV, line 3c(4)(e))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND,"1997-2016, 2020-2024"
P14TNADJ,adjusted_net_income_4yr_total,adjusted_net_income_4yr_total,description_jaccard,0.333,990pf:ADJNETINCTOT,"Adj. Net Inc. or MIR - 4 yr total, line 2a(e)","Adjusted Net Income (Total of last 4 years) (Part XIV, line 2a(e))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND,"1997-2016, 2020-2024"
P14TPSUP,general_public_support_4yr_total,"",below_threshold,0.153846154,"","Gen. pub. support - 4 yr total, line 3c(2)(e)","Support from general public and 5 or more exempt organizations as provided in section 4942 (Total of Last 4 Years) (Part XIV, line 3c2(e))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND,1997-2011
P14TQDIS,qualifying_distributions_4yr_total,"",below_threshold,0.272727273,"","Qualifying dist. - 4 yr total, line 2c(e)","Qualifying distributions from Part XII, line 4 (Total Last 4 Years) (Part XIV, line 2c(e))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND,"1997-2016, 2020-2024"
P14TSUPA,total_support_curr_yr,"",below_threshold,0.181818182,"","Total support - current yr, line 3c(1)(a)","Total support other than gross investment income (interest, dividends, rents, payments on securities loans (section 512(a)(5)), or royalties) - current year (Part XIV, line 3c1(a))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND,"1997-2016, 2020-2024"
P14TSUPB,total_support_prior1,"",below_threshold,0.181818182,"","Total support - prior yr 1, line 3c(1)(b)","Total support other than gross investment income (interest, dividends, rents, payments on securities loans (section 512(a)(5)), or royalties) - prior year 1 (Part XIV, line 3c1(b))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND,"1997-2016, 2020-2024"
P14TSUPC,total_support_prior2,"",below_threshold,0.181818182,"","Total support - prior yr 2, line 3c(1)(c)","Total support other than gross investment income (interest, dividends, rents, payments on securities loans (section 512(a)(5)), or royalties) - prior year 2 (Part XIV, line 3c1(c))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND,"1997-2016, 2020-2024"
P14TSUPD,total_support_prior3,"",below_threshold,0.181818182,"","Total support - prior yr 3, line 3c(1)(d)","Total support other than gross investment income (interest, dividends, rents, payments on securities loans (section 512(a)(5)), or royalties) - prior year 3 (Part XIV, line 3c1(d))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND,"1997-2016, 2020-2024"
P14TTSUP,total_support_4yr_total,"",below_threshold,0.181818182,"","Total support - 4 yr total, line 3c(1)(e)","Total support other than gross investment income (interest, dividends, rents, payments on securities loans (section 512(a)(5)), or royalties) (Total of Last 4 Years) (Part XIV, line 3c1(e))",Part XIV: Private Operating Foundations,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND,"1997-2016, 2020-2024"
P1ADMEXP,total_operating_admin_expenses_col_a,total_operating_admin_expenses_col_a,description_jaccard,0.333,990pf:TOPRADMNEXPNSA,"Total op. and admin. exp. per books, line 24(a)","Total operating and administrative expenses as per books (add lines 13 through 23) (Part I, line 24(a))","Part I: Revenue, Expenses, and Net Income",Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND,"1997-2016, 2020-2024"
P1CHAEXP,total_operating_admin_expenses_col_d,"",below_threshold,0.25,"","Total charity op. and admin. exp., line 24(d)","Total disbursements for charitable purposes (cash basis) operating and administrative expenses (add lines 13 through 23) (Part I, line 24(d))","Part I: Revenue, Expenses, and Net Income",Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND,"1997-2016, 2020-2024"
P1CONTPD,contributions_paid,contributions_paid,description_jaccard,0.5,990pf:CONTRPDPBKS,"Contributions paid per books, line 25(a)","Contributions, gifts, grants paid as per books (Part I, line 25(a))","Part I: Revenue, Expenses, and Net Income",Numeric,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,"1989-1992, 1994-2016, 2020-2024"
P1DIVID,dividends_interest_excluded,dividends_interest_excluded,description_jaccard,0.625,990pf:DVDNDSINTD,"Dividends, line 4(a)","Dividends and interest from securities (Part I, line 4(a))","Part I: Revenue, Expenses, and Net Income",Numeric,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,"1989-1992, 1994-2011, 2013-2016, 2020-2024"
P1EXCREV,excess_revenue_over_expenses,"",below_threshold,0.15,"","Excess revenue over exp. per books, line 27a","Excess of revenue over expenses and disbursements as per books (line 12 minus 26) (Part I, line 27a)","Part I: Revenue, Expenses, and Net Income",Numeric,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,"1989-1992, 1994-2016, 2020-2024"
P1GINVPF,gross_profit,"",below_threshold,0.272727273,"","Gross profit on sales, line 10c(a)","Gross profit or (loss) on sales (gross sales less cost of goods sold) (Part I, line 10c(a))","Part I: Revenue, Expenses, and Net Income",Numeric,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,"1989-1992, 1994-2016, 2020-2024"
P1GOODS,"","",skipped_bmf_origin,,"","","","","",12,2000-2011,2000,2011,501C3-PRIVFOUND,""
P1GRENTS,gross_rents,gross_rents,description_jaccard,0.5,990pf:GRSRENTS,"Gross Rents, line 5a(a)","Gross rents (Part I, line 5a(a))","Part I: Revenue, Expenses, and Net Income",Numeric,16,1996-2011,1996,2011,501C3-PRIVFOUND,"1996-2016, 2020-2024"
P1INTREV,interest_savings_excluded,interest_savings_excluded,description_jaccard,0.667,990pf:INTONSVNGSD,"Interest on savings, line 3(a)","Interest on savings and temporary cash investments (Part I, line 3(a))","Part I: Revenue, Expenses, and Net Income",Numeric,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,"1989-1992, 1994-2011, 2013-2016, 2020-2024"
