source_column,harmonized_name,soi_current_candidate,candidate_match_type,candidate_match_score,candidate_match_via,label,description,section,dtype,n_tax_years,years_present,first_year,last_year,scope_observed,combined_years_present
ACCPER,accounting_period,accounting_fees,description_jaccard,0.333,990pf:ACCOUNTINGFEES,Accounting period (MM),Accounting period,Miscellaneous,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,"1989-1992, 1994-2011"
ACTIV,"","",skipped_bmf_origin,,"","","","","",14,1997-2010,1997,2010,501C3-PRIVFOUND,""
ACTIV1,activity_code_1,"",below_threshold,0.2,"",IRS Activity Code 1,First activity code.,Classification,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,"1989-1992, 1994-2011"
ACTIV2,activity_code_2,"",below_threshold,0.2,"",IRS Activity Code 2,Second activity code.,Classification,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,"1989-1992, 1994-2011"
ACTIV3,activity_code_3,"",below_threshold,0.2,"",IRS Activity Code 3,Third activity code.,Classification,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,"1989-1992, 1994-2011"
ADDRESS,"","",skipped_bmf_origin,,"","","","","",22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,""
AFCD,"",eo_status,description_jaccard,0.333,990pf:EOSTATUS,Affiliation code,Affiliation code,Other Descriptive Info,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,""
ARC,"","",below_threshold,0,"",[NULL],[NULL],Miscellaneous,Character,12,1999-2010,1999,2010,501C3-PRIVFOUND,""
ARED,"","",below_threshold,0,"",Advance Ruling Expiration Date,Advance Ruling Expiration Date,Other Descriptive Info,Character,21,"1989-1992, 1994-2010",1989,2010,501C3-PRIVFOUND,""
ASCD,"","",skipped_bmf_origin,,"","","","","",6,"1989-1990, 1994-1996, 1999",1989,1999,501C3-PRIVFOUND,""
ASS_CODE,"","",skipped_bmf_origin,,"","","","","",12,"1999-2001, 2003-2011",1999,2011,501C3-PRIVFOUND,""
CITY,"","",below_threshold,0,"",City,City,Basic Info,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,""
CLASSCD,"","",below_threshold,0.2,"",Classification code-brkdwn of,IRS Classification code,Other Classification,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,""
CODE990,"","",skipped_bmf_origin,,"","","","","",7,"1989-1992, 1994-1996",1989,1996,501C3-PRIVFOUND,""
CONTACT,"","",skipped_bmf_origin,,"","","","","",22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,""
CYCLE,"","",skipped_bmf_origin,,"","","","","",11,"1999-2001, 2003-2010",1999,2010,501C3-PRIVFOUND,""
