source_column,harmonized_name,label,description,section,dtype,n_tax_years,years_present,first_year,last_year,scope_observed
ASSTSALE,asstsale,,,,,2,"2002, 2004",2002,2004,501C3-CHARITIES|501CE-NONPROFIT
CGR2NET,cgr2net,,,,,2,"2002, 2004",2002,2004,501C3-CHARITIES|501CE-NONPROFIT
CNAB,cnab,,,,,2,"2002, 2004",2002,2004,501C3-CHARITIES|501CE-NONPROFIT
CNAM,cnam,,,,,2,"2002, 2004",2002,2004,501C3-CHARITIES|501CE-NONPROFIT
CNAO,cnao,,,,,2,"2002, 2004",2002,2004,501C3-CHARITIES|501CE-NONPROFIT
CRERATIO,creratio,,,,,2,"2002, 2004",2002,2004,501C3-CHARITIES|501CE-NONPROFIT
CRINC_F,crinc_f,,,,,2,"2002, 2004",2002,2004,501C3-CHARITIES
CTOTREVB,ctotrevb,,,,,2,"2002, 2004",2002,2004,501C3-CHARITIES|501CE-NONPROFIT
CTOTREVM,ctotrevm,,,,,2,"2002, 2004",2002,2004,501C3-CHARITIES|501CE-NONPROFIT
FUNDB_F,fundb_f,,,,,2,"2002, 2004",2002,2004,501C3-CHARITIES
FUNDB_O,fundb_o,,,,,2,"2002, 2004",2002,2004,501C3-CHARITIES
GRINC_F,grinc_f,,,,,2,"2002, 2004",2002,2004,501C3-CHARITIES
GRINC_O,grinc_o,,,,,2,"2002, 2004",2002,2004,501C3-CHARITIES
GRREC_F,grrec_f,,,,,2,"2002, 2004",2002,2004,501C3-CHARITIES
GRREC_O,grrec_o,,,,,2,"2002, 2004",2002,2004,501C3-CHARITIES
IERATIO,ieratio,,,,,2,"2002, 2004",2002,2004,501C3-CHARITIES|501CE-NONPROFIT
LIB97,lib97,,,,,2,1997-1998,1997,1998,501C3-CHARITIES
LIBEOY97,libeoy97,,,,,2,1997-1998,1997,1998,501C3-CHARITIES
NTEE4CD,ntee4cd,,,,,2,1997-1998,1997,1998,501C3-CHARITIES
NTEECC3D,nteecc3d,,,,,2,1997-1998,1997,1998,501C3-CHARITIES
NTEECODE,nteecode,Common code of NTEE-XP,Common code of NTEE-XP,Other Classification,Character,2,1997-1998,1997,1998,501C3-CHARITIES
NTEEDEC,nteedec,Decile code of NTEE classifica,Decile code of NTEE classifica,Other Classification,Character,2,1997-1998,1997,1998,501C3-CHARITIES
NTEEMID,nteemid,Decile & centile code of NTEE,Decile & centile code of NTEE,Other Classification,Character,2,1997-1998,1997,1998,501C3-CHARITIES
NteeOldB,nteeoldb,,,,,2,2005-2006,2005,2006,501C3-CHARITIES|501CE-NONPROFIT
SALES_F,sales_f,,,,,2,"2002, 2004",2002,2004,501C3-CHARITIES
SALES_O,sales_o,,,,,2,"2002, 2004",2002,2004,501C3-CHARITIES
TOTREV_F,totrev_f,,,,,2,"2002, 2004",2002,2004,501C3-CHARITIES
TOTREV_O,totrev_o,,,,,2,"2002, 2004",2002,2004,501C3-CHARITIES
V1INVNTN,v1invntn,,,,,2,"2002, 2004",2002,2004,501C3-CHARITIES|501CE-NONPROFIT
V1NASEOY,v1naseoy,,,,,2,"2002, 2004",2002,2004,501C3-CHARITIES|501CE-NONPROFIT
V1NETINC,v1netinc,,,,,2,"2002, 2004",2002,2004,501C3-CHARITIES|501CE-NONPROFIT
V1OTHN,v1othn,,,,,2,"2002, 2004",2002,2004,501C3-CHARITIES|501CE-NONPROFIT
V1SECURN,v1securn,,,,,2,"2002, 2004",2002,2004,501C3-CHARITIES|501CE-NONPROFIT
V1SPEVN,v1spevn,,,,,2,"2002, 2004",2002,2004,501C3-CHARITIES|501CE-NONPROFIT
V1TOTREV,v1totrev,,,,,2,"2002, 2004",2002,2004,501C3-CHARITIES|501CE-NONPROFIT
VASSTLIA,vasstlia,,,,,2,"2002, 2004",2002,2004,501C3-CHARITIES|501CE-NONPROFIT
VBS_BOY,vbs_boy,,,,,2,"2002, 2004",2002,2004,501C3-CHARITIES|501CE-NONPROFIT
VBS_EOY,vbs_eoy,,,,,2,"2002, 2004",2002,2004,501C3-CHARITIES|501CE-NONPROFIT
VGBOND_BOY,vgbond_boy,,,,,2,"2002, 2004",2002,2004,501C3-CHARITIES|501CE-NONPROFIT
VGBOND_EOY,vgbond_eoy,,,,,2,"2002, 2004",2002,2004,501C3-CHARITIES|501CE-NONPROFIT
VGCOMPENS,vgcompens,,,,,2,"2002, 2004",2002,2004,501C3-CHARITIES|501CE-NONPROFIT
VGFUNDFEES,vgfundfees,,,,,2,"2002, 2004",2002,2004,501C3-CHARITIES|501CE-NONPROFIT
VGMRTG_BOY,vgmrtg_boy,,,,,2,"2002, 2004",2002,2004,501C3-CHARITIES|501CE-NONPROFIT
VGMRTG_EOY,vgmrtg_eoy,,,,,2,"2002, 2004",2002,2004,501C3-CHARITIES|501CE-NONPROFIT
VGOTHSAL,vgothsal,,,,,2,"2002, 2004",2002,2004,501C3-CHARITIES|501CE-NONPROFIT
VGPAYTAX,vgpaytax,,,,,2,"2002, 2004",2002,2004,501C3-CHARITIES|501CE-NONPROFIT
VGRENTEXP,vgrentexp,,,,,2,"2002, 2004",2002,2004,501C3-CHARITIES|501CE-NONPROFIT
VGSOLICIT,vgsolicit,,,,,2,"2002, 2004",2002,2004,501C3-CHARITIES|501CE-NONPROFIT
geoExclude,geoexclude,,,,,2,2007-2008,2007,2008,501C3-CHARITIES
geocd,geocd,,,,,2,2007-2008,2007,2008,501C3-CHARITIES
ADMISSN,admissn,,,,,1,2004,2004,2004,501C3-CHARITIES
ASS_EOYx,ass_eoyx,,,,,1,2010,2010,2010,501CE-NONPROFIT
AssIndCode,assindcode,,,,,1,2010,2010,2010,501C3-CHARITIES
AssIndEstimate,assindestimate,Assistance to Individuals,Estimated Assistance to individuals,Supplemental fields (Authorized Users Only),Numeric,1,2010,2010,2010,501C3-CHARITIES
AssIndYr,assindyr,,,,,1,2010,2010,2010,501C3-CHARITIES
Auspice,auspice,,,,,1,2001,2001,2001,501C3-CHARITIES
BASALES,basales,,,,,1,2004,2004,2004,501C3-CHARITIES
BONDBEG,bondbeg,,,,,1,2004,2004,2004,501C3-CHARITIES
BONDEND,bondend,,,,,1,2004,2004,2004,501C3-CHARITIES
BOND_BOY_OLD,bond_boy_old,,,,,1,2010,2010,2010,501CE-NONPROFIT
BOND_EOYx,bond_eoyx,,,,,1,2010,2010,2010,501CE-NONPROFIT
CBSA,cbsa,,,,,1,2001,2001,2001,501C3-CHARITIES
CMSA,cmsa,,,,,1,1999,1999,1999,501C3-CHARITIES
CommCode,commcode,,,,,1,2010,2010,2010,501C3-CHARITIES
