source_column,harmonized_name,soi_current_candidate,candidate_match_type,candidate_match_score,candidate_match_via,label,description,section,dtype,n_tax_years,years_present,first_year,last_year,scope_observed,combined_years_present
A3LOBBY,lobbying_activities_cd,"",below_threshold,0.125,"",Influence legislation?,"Organization attempted to influence legislation, sch.A.III.1","Schedule A, Part III: Statement About Activities",Character,11,1989-1999,1989,1999,501CE-NONPROFIT,"1989-1999, 2013-2024"
A4A_BUST,gross_receipts_related_activities_sec170,"",below_threshold,0.266666667,"","Gross Receipts, Rel'd Bus.-col.E (tot)","Gross receipts from business related to charitable purpose- col. E (total) (Sch.A.IV-A,17)","Schedule A, Part IV:  Reason for Non-Private Foundation Status",Numeric,3,1997-1999,1997,1999,501CE-NONPROFIT,"1997-1999, 2012-2024"
A4A_CNT,total_contributions,total_contributions,description_jaccard,0.308,990ez:totcntrbs,"Gifts, grants, contribs.-4yrs","Gifts, grants, and contributions received (total of last 4 years), Sch A, line 15(e)",Schedule A,Numeric,3,1997-1999,1997,1999,501CE-NONPROFIT,"1997-1999, 2012-2024"
A4A_GVTT,gov_services_value_sec170,"",below_threshold,0.1875,"",Srvcs. & Facil. fr. Govt.-col. E (tot),Value of services or facilities furnished by government without charge- col. E (total) (Sch.A.IV-A),"Schedule A, Part IV:  Reason for Non-Private Foundation Status",Numeric,3,1997-1999,1997,1999,501CE-NONPROFIT,"1997-1999, 2012-2024"
A4A_IVST,gross_income_interest_sec170,"",below_threshold,0.272727273,"","Gross Inc, Invest.-col. E (tot)",Gross income from investments- col. E (total) (Sch.A.IV-A),"Schedule A, Part IV:  Reason for Non-Private Foundation Status",Numeric,3,1997-1999,1997,1999,501CE-NONPROFIT,"1997-1999, 2012-2024"
A4A_MEMT,membership_fees_received_sec170,"",below_threshold,0.25,"",Memb. Fees Rec'd-col. E (tot),Membership fees received- col. E (total) (Sch.A.IV-A),"Schedule A, Part IV:  Reason for Non-Private Foundation Status",Numeric,3,1997-1999,1997,1999,501CE-NONPROFIT,1997-1999
A4A_OTHT,other_income_sec170,"",below_threshold,0.285714286,"",Other Income- Col. E (tot),Other income- col. E (total) (Sch.A.IV-A),"Schedule A, Part IV:  Reason for Non-Private Foundation Status",Numeric,3,1997-1999,1997,1999,501CE-NONPROFIT,"1997-1999, 2013-2024"
A4A_TAXT,tax_revenues_levied_sec170,"",below_threshold,0.230769231,"",Tax Rev.levied for Org.- Col. E (tot),Tax revenues levied on organization's behalf- col. E (total) (Sch.A.IV-A),"Schedule A, Part IV:  Reason for Non-Private Foundation Status",Numeric,3,1997-1999,1997,1999,501CE-NONPROFIT,"1997-1999, 2012-2024"
A4A_TOTT,total_support_sec170,"",below_threshold,0.166666667,"","Tot., Ln. 15 to 22- Col. E (tot)",Total of lines 15 to 22- col. E (total) (Sch.A.IV-A),"Schedule A, Part IV:  Reason for Non-Private Foundation Status",Numeric,3,1997-1999,1997,1999,501CE-NONPROFIT,"1997-1999, 2013-2024"
A6DLBYB,total_direct_lobbying_expense_sec501h,"",below_threshold,0.071428571,"",Tot. Direct Lbbyg Exp.-col. A (all),Total direct lobbying expense- Sch.A.VI-A.37b (all elct orgs.),"Schedule A, Part VI-A:  Lobbying Expenditures by Electing Public Charities",Character,11,1989-1999,1989,1999,501CE-NONPROFIT,1989-1999
A6GLBYB,grassroots_lobbying_amount,"",below_threshold,0.083333333,"",Tot. Grassroots Lbbyg Exp-col. A (all),Total grassroots lobbying expenditures- col. B (all elct orgs.),"Schedule A, Part VI-A:  Lobbying Expenditures by Electing Public Charities",Character,11,1989-1999,1989,1999,501CE-NONPROFIT,1989-1999
A6NGLBB,grassroots_lobbying_ceiling_amount,"",below_threshold,0.058823529,"",Grsrts Ntax. Amt (25% Li41)-col. B (all),Maximum grassroots nontaxable amount (25% of line 41)- Sch.A.VI.42b (all elct orgs.),"Schedule A, Part VI-A:  Lobbying Expenditures by Electing Public Charities",Character,3,1997-1999,1997,1999,501CE-NONPROFIT,1997-1999
A6NLBEB,taxable_lobbying_amount_all_electing_orgs,"",below_threshold,0.142857143,"",Li38-li41 (0 If Li41>li38)-all Elect Org,Subtract line 38 from line 41 (0 if line 41>line 38)- col. B (all elct orgs.),"Schedule A, Part VI-A:  Lobbying Expenditures by Electing Public Charities",Character,11,1989-1999,1989,1999,501CE-NONPROFIT,1989-1999
A6NTLBB,nontaxable_lobbying_amount,"",below_threshold,0.071428571,"",Max. Nontax. Lobbying Amt-col. B (all),Maximum nontaxable lobbying amount Sch.A.VI.41b (all elct orgs.),"Schedule A, Part VI-A:  Lobbying Expenditures by Electing Public Charities",Character,3,1997-1999,1997,1999,501CE-NONPROFIT,1997-1999
A6OEXPB,other_lobbying_amount,"",below_threshold,0.071428571,"",Oth. Exempt Purp. Exp.-col. B (all),Other exempt purpose expenditures- Sch.A.VI.39b (all elct orgs.),"Schedule A, Part VI-A:  Lobbying Expenditures by Electing Public Charities",Character,3,1997-1999,1997,1999,501CE-NONPROFIT,1997-1999
A6TGLBB,taxable_grassroots_lobbying_amount_all_electing_orgs,"",below_threshold,0.153846154,"",Subtract Li42 fr. Li36 (0 If Li42>li36),Subtract line 42 from liine 36 (0 if line 42>line 36)- col. B (all elct orgs.),"Schedule A, Part VI-A:  Lobbying Expenditures by Electing Public Charities",Character,11,1989-1999,1989,1999,501CE-NONPROFIT,1989-1999
ACCPER,accounting_period,accounting_fees,description_jaccard,0.333,990:accntingfees,Accounting period (MM),Accounting period,Miscellaneous,Character,23,1989-2011,1989,2011,501C3-CHARITIES|501CE-NONPROFIT,1989-2011
ACCPERMO,accounting_period_mm,"",skipped_bmf_origin,,"","","","","",3,1997-1999,1997,1999,501CE-NONPROFIT,1997-1999
ACTIV,"","",skipped_bmf_origin,,"","","","","",14,1997-2010,1997,2010,501C3-CHARITIES|501CE-NONPROFIT,""
ACTIV1,"","",below_threshold,0.2,"",IRS Activity Code 1,First activity code.,Classification,Character,23,1989-2011,1989,2011,501C3-CHARITIES|501CE-NONPROFIT,""
ACTIV2,"","",below_threshold,0.2,"",IRS Activity Code 2,Second activity code.,Classification,Character,23,1989-2011,1989,2011,501C3-CHARITIES|501CE-NONPROFIT,""
ACTIV3,"","",below_threshold,0.2,"",IRS Activity Code 3,Third activity code.,Classification,Character,23,1989-2011,1989,2011,501C3-CHARITIES|501CE-NONPROFIT,""
ACTIVCD1,"","",below_threshold,0.1,"",IRS Activity Code 1,IRS Activity Code 1 chosen by organization when it applied for exemption,Classification,Character,11,1989-1999,1989,1999,501CE-NONPROFIT,""
ACTIVCD2,"","",below_threshold,0.1,"",IRS Activity Code 2,IRS Activity Code 2 chosen by organization when it applied for exemption,Classification,Character,3,1997-1999,1997,1999,501CE-NONPROFIT,""
ACTIVCD3,"","",below_threshold,0.1,"",IRS Activity Code 3,IRS Activity Code 3 chosen by organization when it applied for exemption,Classification,Character,3,1997-1999,1997,1999,501CE-NONPROFIT,""
ADDRESS,"","",below_threshold,0,"",Address,Address,Basic Info,Character,23,1989-2011,1989,2011,501C3-CHARITIES|501CE-NONPROFIT,""
ADVRULDT,"","",skipped_bmf_origin,,"","","","","",3,1997-1999,1997,1999,501CE-NONPROFIT,""
AFCD,"",subsection_cd,description_jaccard,0.333,990:subseccd,Affiliation code,Affiliation code,Other Descriptive Info,Character,23,1989-2011,1989,2011,501C3-CHARITIES|501CE-NONPROFIT,""
AFFILCD,"","",skipped_bmf_origin,,"","","","","",3,1997-1999,1997,1999,501CE-NONPROFIT,""
ARC,"","",skipped_bmf_origin,,"","","","","",11,"1997-2002, 2004, 2007-2010",1997,2010,501C3-CHARITIES|501CE-NONPROFIT,""
ARED,"","",below_threshold,0,"",Advance Ruling Expiration Date,Advance Ruling Expiration Date,Other Descriptive Info,Character,22,1989-2010,1989,2010,501C3-CHARITIES|501CE-NONPROFIT,""
ASCD,"",subsection_cd,description_jaccard,0.333,990:subseccd,Asset code,Asset code,Financial Info,Character,3,"1989-1990, 1992",1989,1992,501CE-NONPROFIT,""
ASSETCD,"","",skipped_bmf_origin,,"","","","","",6,1994-1999,1994,1999,501CE-NONPROFIT,""
ASSETS,"","",skipped_bmf_origin,,"","","","","",4,"1997-1999, 2004",1997,2004,501C3-CHARITIES|501CE-NONPROFIT,""
ASS_BOY,total_assets_boy,"",below_threshold,0.142857143,"",Total Assets - BOY,"Total assets at beginning of year Old 990 (DocCD=90): Part IV, Line 59, Col (A) New 990 (DocCD=93): Part X Line 16 (A) 990EZ (DocCD=09 and 92): Part II, Line 25, Col (A)",Balance Sheet,Numeric,23,1989-2011,1989,2011,501C3-CHARITIES|501CE-NONPROFIT,1989-2011
ASS_CODE,"","",skipped_bmf_origin,,"","","","","",11,"1997-2002, 2004, 2007-2010",1997,2010,501C3-CHARITIES|501CE-NONPROFIT,""
ASS_EOY,total_assets_eoy,"",below_threshold,0.214285714,"",Total Assets - EOY,"Total assets at end of year Old 990 (DocCD=90): Part IV, Line 59, Col (B) New 990 (DocCD=93): Part X Line 16 (B) 990EZ (DocCD=09 and 92): Part II, Line 25, Col (B)",Balance Sheet,Numeric,23,1989-2011,1989,2011,501C3-CHARITIES|501CE-NONPROFIT,1989-2024
AdminExpCode,mgmt_general_cd,"",below_threshold,0.105263158,"","","Mangement and General Code (Identifies which file the estimate was taken from SOI, Core, etc.)",Supplemental fields (Authorized Users Only),Character,4,2007-2010,2007,2010,501C3-CHARITIES,2007-2010
AdminExpEstimate,mgmt_general_expense_estimate,"",below_threshold,0.2,"","",Management and general Estimate,Supplemental fields (Authorized Users Only),Numeric,4,2007-2010,2007,2010,501C3-CHARITIES,2007-2010
