source_column,harmonized_name,soi_current_candidate,candidate_match_type,candidate_match_score,candidate_match_via,label,description,section,dtype,n_tax_years,years_present,first_year,last_year,scope_observed,combined_years_present
AdminExpYr,mgmt_general_expense_estimate_year,"",below_threshold,0.125,"","",Managment and general Estimate Year (Identifies the Fiscal Year from which the estimate was taken),Supplemental fields (Authorized Users Only),Numeric,4,2007-2010,2007,2010,501C3-CHARITIES,2007-2010
BOND_BOY,tax_exempt_bonds_boy,"",below_threshold,0.166666667,"",Tax Exempt Bonds - BOY,"Tax exempt bonds at beginning of year Old 990 (DocCD=90): Part IV, Line 64a, Col (A) New 990 (DocCD=93) and 990EZ (DocCD=09 and 92): Not available",Balance Sheet,Numeric,15,1997-2011,1997,2011,501C3-CHARITIES|501CE-NONPROFIT,1997-2011
BOND_EOY,tax_exempt_bonds_eoy,"",below_threshold,0.166666667,"",Tax Exempt Bonds - EOY,"Tax exempt bonds at end of year Old 990 (DocCD=90): Part IV, Line 64a, Col (B) New 990 (DocCD=93): Part X Line 20 (B) 990EZ (DocCD=09 and 92): Not Available",Balance Sheet,Numeric,23,1989-2011,1989,2011,501C3-CHARITIES|501CE-NONPROFIT,1989-2024
CATEGORY,"","",skipped_bmf_origin,,"","","","","",4,1995-1998,1995,1998,501C3-CHARITIES,""
CITY,"","",below_threshold,0,"",City,City,Basic Info,Character,23,1989-2011,1989,2011,501C3-CHARITIES|501CE-NONPROFIT,""
CLASSCD,"","",below_threshold,0.2,"",Classification code-brkdwn of,IRS Classification code,Other Classification,Character,23,1989-2011,1989,2011,501C3-CHARITIES|501CE-NONPROFIT,""
CODE990,"","",skipped_bmf_origin,,"","","","","",21,1990-2010,1990,2010,501C3-CHARITIES|501CE-NONPROFIT,""
COMPENS,compensation_current_officers,"",below_threshold,0.117647059,"",Compensation of Officers,"Compensation of officers Old 990 (DocCD=90): Part II, Line 25a, Col (A) New 990 (DocCD=93): Part IX Line 5 (A) 990EZ (DocCD=09 and 92): Not Available","Revenues, Expenses, and Change in Net Assets",Numeric,23,1989-2011,1989,2011,501C3-CHARITIES|501CE-NONPROFIT,1989-2024
CONT,total_contributions,"",below_threshold,0.2,"",Total Contributions,"Total contributions, gifts, and grants Old 990 (DocCD=90): Part I, Line 1e New 990 (DocCD=93): Part VIII Line 1h 990EZ (DocCD=09 and 92): Part I, Line 1","Revenues, Expenses, and Change in Net Assets",Numeric,23,1989-2011,1989,2011,501C3-CHARITIES|501CE-NONPROFIT,1989-2024
CONT4,gifts_grants_received_sec170,"",below_threshold,0.222222222,"",Total Gifts and Grants,"Total gifts, grants, and contributions received Old 990 (DocCD=90) and Old 990EZ (DocCD=09): Sch A, Part IV-A, Line 15, Col (e) New 990 (DocCD=93) and New 990EZ (DocCD=92): Not available",Schedule A,Numeric,14,1997-2010,1997,2010,501C3-CHARITIES|501CE-NONPROFIT,"1997-2010, 2012-2024"
CONTACT,"","",below_threshold,0.142857143,"",Contact person (from IRS files,Contact person (from IRS files),Other Descriptive Info,Character,23,1989-2011,1989,2011,501C3-CHARITIES|501CE-NONPROFIT,""
CYCLE,"","",skipped_bmf_origin,,"","","","","",12,"1997-2002, 2004, 2006-2010",1997,2010,501C3-CHARITIES|501CE-NONPROFIT,""
CashCode,"","",below_threshold,0.2,"",Code for Cash,Code for Estimated Cash,Supplemental fields (Authorized Users Only),Character,13,1998-2010,1998,2010,501C3-CHARITIES,""
CashEstimate,noninterest_cash_eoy,"",below_threshold,0.2,"",Cash,Estimated Cash,Supplemental fields (Authorized Users Only),Numeric,13,1998-2010,1998,2010,501C3-CHARITIES,"1998-2010, 2013-2024"
CashYr,"","",below_threshold,0.166666667,"",Year of Cash,Year of Estimated Cash,Supplemental fields (Authorized Users Only),Numeric,13,1998-2010,1998,2010,501C3-CHARITIES,""
Confidence,"","",skipped_bmf_origin,,"","","","","",15,1989-2003,1989,2003,501CE-NONPROFIT,""
Confidence2007a,"","",skipped_bmf_origin,,"","","","","",17,1989-2005,1989,2005,501CE-NONPROFIT,""
DEDUCTCD,"","",below_threshold,0.2,"",IRS deductability code,IRS Deductibility code,Other Classification,Character,23,1989-2011,1989,2011,501C3-CHARITIES|501CE-NONPROFIT,""
DIREXP,special_events_direct_expenses,"",below_threshold,0.266666667,"",Special Events Expenses,"Special events direct expenses Old 990 (DocCD=90): Part I, Line 9b New 990 (DocCD=93): Sum of Part VIII Lines 8b and 9b 990EZ (DocCD=09 and 92): Part I, Line 6b","Revenues, Expenses, and Change in Net Assets",Numeric,21,1991-2011,1991,2011,501C3-CHARITIES|501CE-NONPROFIT,1991-2011
DISTRICT,"","",below_threshold,0.2,"",IRS District Ofc.,IRS District Office,Other Descriptive Info,Character,21,1989-2009,1989,2009,501C3-CHARITIES|501CE-NONPROFIT,""
DLN,"","",below_threshold,0.142857143,"",Document locator number,Document Locator Number used by the IRS,Internal Processing,Character,11,2000-2010,2000,2010,501C3-CHARITIES|501CE-NONPROFIT,""
DOCLOCNO,"","",skipped_bmf_origin,,"","","","","",3,1997-1999,1997,1999,501CE-NONPROFIT,""
DUES,membership_dues_assessments_sec170,"",below_threshold,0.057142857,"",Dues,"Membership dues and assessments Old 990 (DocCD=90): Part I, Line 3 Old 990EZ (DocCD=09): Part I, Line 3 New 990 (DocCD=93): Not available - Amounts reported as DUES in Part I, Line 3 of Form 990 prior to 2008 are reported as Program Service Revenue in Part VIII, Line 2g of New 990 (see PROGREV) New 990EZ (DocCD=92): Not available - DUES amounts reported in Part I, Line 3 of New 990EZ were not available from the IRS for New 990EZ returns for this period. IMPORTANT NOTE: Amounts reported as DUES in Part I, Line 3 of Form 990 prior to tax year 2008 are reported as Program Service Revenue in Part VIII, Line 2g (PROGREV) of Form 990 beginning in tax year 2008. For this reason, DUES is not available in Core PC and CO files circa 2011 and newer. For this reason, the following adjustment will be necessary for comparison of PROGREV and DUES revenue components in Core files prior to 2011: [PROGREV+DUES in Core files prior to 2011] = [PROGREV in Core files 2011 and later]. Due to Form 990 revisions in tax year 2008: NCCS strongly recommends combining DUES and PROGREV revenue components for all analysis involving Core files containing both Old 990 (DocCD=90) and New 990 (DocCD=93) return data (Core files 2008-2010), and for all time-series analysis spanning Core file years 2008 and newer.","Revenues, Expenses, and Change in Net Assets",Numeric,22,1989-2010,1989,2010,501C3-CHARITIES|501CE-NONPROFIT,1989-2010
DUES4,membership_fees_received_sec170,"",below_threshold,0.157894737,"",Total Membership Fees,"Total membership fees received Old 990 (DocCD=90) and Old 990EZ (DocCD=09): Sch A, Part IV-A, Line 16, Col (e) New 990 (DocCD=93) and New 990EZ (DocCD=92): Not available",Schedule A,Numeric,14,1997-2010,1997,2010,501C3-CHARITIES|501CE-NONPROFIT,1997-2010
DirSupCode,"","",below_threshold,0.285714286,"",Code for Direct public support,Code for Estimated Direct public support,Supplemental fields (Authorized Users Only),Character,14,1998-2011,1998,2011,501C3-CHARITIES,""
DirSupEstimate,public_support_sec170,public_support_sec170,description_jaccard,0.4,990:pubsupplesspct170,Direct public support,Estimated Direct public support,Supplemental fields (Authorized Users Only),Numeric,14,1998-2011,1998,2011,501C3-CHARITIES,"1998-2011, 2013-2024"
DirSupYr,"",public_support_sec170,description_jaccard,0.333,990:pubsupplesspct170,Year of Direct public support,Year of Estimated Direct public support,Supplemental fields (Authorized Users Only),Numeric,14,1998-2011,1998,2011,501C3-CHARITIES,""
DocCD,"","",below_threshold,0.095238095,"",990 Document Type Code,"A 2-digit code identifying type of Form 990 (990, 990-EZ, or 990-PF), and form revision (form revision 2007 and earlier vs. 2008 and later). Document Code is the 4th and 5th digits of the DLN assigned by the IRS.",Miscellaneous,Character,10,2002-2011,2002,2011,501C3-CHARITIES|501CE-NONPROFIT,""
EIN,ein,ein,exact_source_name,,990:EIN,Employer Identification Number,Employer identification number.,Basic Info,Character,23,1989-2011,1989,2011,501C3-CHARITIES|501CE-NONPROFIT,1989-2024
ENDDATE,"","",skipped_bmf_origin,,"","","","","",10,1989-1998,1989,1998,501C3-CHARITIES,""
EOSTATUS,"","",skipped_bmf_origin,,"","","","","",12,"1997-2002, 2004, 2007-2011",1997,2011,501C3-CHARITIES|501CE-NONPROFIT,""
EOY,"","",skipped_bmf_origin,,"","","","","",3,"2007, 2009-2010",2007,2010,501C3-CHARITIES|501CE-NONPROFIT,""
EXGRROOT,excess_grassroots_lobbying_amount,"",below_threshold,0.166666667,"",Excess Grass Roots Exp,"Excess grass roots expenditures - subtract line 42 from line 36. Enter -0- if line 42 is more than line 36 Old 990 (DocCD=90) and Old 990EZ (DocCD=09): Sch A, Part VI-A, Line 43, Col (b) New 990 (DocCD=93) and New 990EZ (DocCD=92): Not available",Schedule A,Numeric,22,1989-2010,1989,2010,501C3-CHARITIES|501CE-NONPROFIT,1989-2010
EXLOBEXP,excess_lobbying_amount,"",below_threshold,0.173913043,"",Excess Lobbying Exp,"Excess lobbying expenditures - subtract line 41 from line 38. Enter -0- if line 41 is more than line 38 Old 990 (DocCD=90) and Old 990EZ (DocCD=09): Sch A, Part VI-A, Line 44, Col (b) New 990 (DocCD=93) and New 990EZ (DocCD=92): Not available",Schedule A,Numeric,22,1989-2010,1989,2010,501C3-CHARITIES|501CE-NONPROFIT,1989-2010
EXPS,total_functional_expenses,"",below_threshold,0.2,"",Total Expenses,"Total expenses Old 990 (DocCD=90): Part I, Line 17 New 990 (DocCD=93): Part IX Line 25 (A) 990EZ (DocCD=09 and 92): Part I, Line 17","Revenues, Expenses, and Change in Net Assets",Numeric,23,1989-2011,1989,2011,501C3-CHARITIES|501CE-NONPROFIT,1989-2024
FILER,"","",below_threshold,0.2,"",990 filing w/n 2 years? (Y/N),Filed 990 return within 24 months of BMF file? (Y/N),Basic Info,Character,8,1989-1996,1989,1996,501CE-NONPROFIT,""
FILREQCD,"","",skipped_bmf_origin,,"","","","","",3,1997-1999,1997,1999,501CE-NONPROFIT,""
FIPS,"","",below_threshold,0.066666667,"",State + County FIPS code,2-digit State + 3-digit County FIPS code (Federal Information Processing Standard). See also U.S. Census Bureau State & County QuickFacts .,Basic Info,Character,23,1989-2011,1989,2011,501C3-CHARITIES|501CE-NONPROFIT,""
FISYR,"","",below_threshold,0,"",Fiscal year,Fiscal year (ending year),Basic Info,Character,23,1989-2011,1989,2011,501C3-CHARITIES|501CE-NONPROFIT,""
FNDCD,"","",skipped_bmf_origin,,"","","","","",4,1995-1998,1995,1998,501C3-CHARITIES,""
FNDNCD,"","",below_threshold,0.1875,"",Reason for 501(c)(3) status,"Reason for & type of 501(c)(3) exempt status including codes for operating and grantmaking foundations, and broad type of public charity",Other Descriptive Info,Character,23,1989-2011,1989,2011,501C3-CHARITIES|501CE-NONPROFIT,""
FRCD,"","",below_threshold,0.1,"",Filing Requirement Code,Filing requirements code. The 1st 2 characters indicate the requirements for 990/990-EZ forms. The 3rd character = 1 if a 990-PF is required or 0 if not.,Other Descriptive Info,Character,23,1989-2011,1989,2011,501C3-CHARITIES|501CE-NONPROFIT,""
FUNDBAL,total_net_assets_eoy,"",below_threshold,0.1875,"",Net Assets - EOY,"Net assets or fund balances at end of year Old 990 (DocCD=90): Part I, Line 21 New 990 (DocCD=93): Part I Line 22 (End of Year) 990EZ (DocCD=09 and 92): Part II, Line 27, Col (B)","Revenues, Expenses, and Change in Net Assets",Numeric,23,1989-2011,1989,2011,501C3-CHARITIES|501CE-NONPROFIT,1989-2024
FUNDFEES,professional_fundraising_fees,"",below_threshold,0.2,"",Professional Fundraising Fees,"Professional fundraising fees Old 990 (DocCD=90): Part II, Line 30, Col (A) or (D) New 990 (DocCD=93): Part IX Line 11e (A) 990EZ (DocCD=09 and 92): Not Available","Revenues, Expenses, and Change in Net Assets",Numeric,23,1989-2011,1989,2011,501C3-CHARITIES|501CE-NONPROFIT,1989-2024
FUNDINC,net_income_fundraising_events,"",below_threshold,0.235294118,"",Special Events Net Income,"Net income from special events and activities Old 990 (DocCD=90): Part I, Line 9c New 990 (DocCD=93): Sum of Part VIII Line 8c (A) and 9c (A) 990EZ (DocCD=09 and 92): Part I, Line 6c","Revenues, Expenses, and Change in Net Assets",Numeric,23,1989-2011,1989,2011,501C3-CHARITIES|501CE-NONPROFIT,1989-2024
FY_97,"","",skipped_bmf_origin,,"","","","","",3,1996-1998,1996,1998,501C3-CHARITIES,""
FipsOld,"","",skipped_bmf_origin,,"","","","","",12,"1989-1999, 2004",1989,2004,501C3-CHARITIES|501CE-NONPROFIT,""
FipsOldA,"","",skipped_bmf_origin,,"","","","","",16,1989-2004,1989,2004,501C3-CHARITIES|501CE-NONPROFIT,""
GEN,"","",below_threshold,0.25,"",Group Exemption Number,Group Exemption Number,Other Descriptive Info,Character,23,1989-2011,1989,2011,501C3-CHARITIES|501CE-NONPROFIT,""
GOODS,cost_of_goods_sold,"",below_threshold,0.285714286,"",Inventory Cost of Goods Sold,"Inventory cost of goods sold Old 990 (DocCD=90): Part I, Line 10b New 990 (DocCD=93): Part VIII Line 10b 990EZ (DocCD=09 and 92): Part I, Line 7b","Revenues, Expenses, and Change in Net Assets",Numeric,23,1989-2011,1989,2011,501C3-CHARITIES|501CE-NONPROFIT,1989-2024
GRINC,"","",skipped_bmf_origin,,"","","","","",22,1989-2010,1989,2010,501C3-CHARITIES|501CE-NONPROFIT,""
GROSSINC,gross_income,"",below_threshold,0.25,"","Gr.income (gr.rec.-1d,3,8b,10b","Gross income, Gross Receipts minus (lines 1d + 3 + 8b + 10b)",Part II:  Statement of Functional Expenses,Numeric,11,1989-1999,1989,1999,501CE-NONPROFIT,1989-1999
GROSSREC,gross_receipts,"",below_threshold,0.222222222,"",Gross receipts,"Gross receipts, Sum of Part I total revenue + 6b + 8b (both columns) + 9b + 10b",Part II:  Statement of Functional Expenses,Numeric,11,1989-1999,1989,1999,501CE-NONPROFIT,1989-1999
GRPROF,gross_profit_inventory_sales,gross_profit_inventory_sales,description_jaccard,0.375,990ez:grsprft,Inventory Gross Profit,"Gross profit/loss from sales of inventory Old 990 (DocCD=90): Part I, Line 10c New 990 (DocCD=93): Part VIII Line 10c (A) 990EZ (DocCD=09 and 92): Part I, Line 7c","Revenues, Expenses, and Change in Net Assets",Numeric,23,1989-2011,1989,2011,501C3-CHARITIES|501CE-NONPROFIT,1989-2024
GRREC,gross_receipts_total,"",below_threshold,0.095238095,"",Total Gross Receipts (calculated),"Calculation of total gross receipts is based on version of Form 990/990EZ (see DocCD) Old 990 (DocCD=90): Part I, Line 8b(A), plus Line 8b(B), plus Line 6b, plus Line 9b, plus Line 10b, plus Line 12 New 990 (DocCD=93): Part VIII, Line 12, plus Line 6b(i), plus Line 6b(ii), plus Line 7b(i), plus Line 7b(ii), plus Line 8b, plus Line 9b, plus Line 10b 990EZ (DocCD=09 and 92): Part I, Line 5b, plus Line 6b, plus Line 7b, plus Line 9","Revenues, Expenses, and Change in Net Assets",Numeric,23,1989-2011,1989,2011,501C3-CHARITIES|501CE-NONPROFIT,1989-2011
GRREC4,gross_receipts_admissions_sec509,"",below_threshold,0.2,"","Total Admissions, Sales, etc. Related to Purpose","Total gross receipts from admissions, merchandise or services, etc. related to charitable purpose Old 990 (DocCD=90) and Old 990EZ (DocCD=09): Sch A, Part IV-A, Line 17, Col (e) New 990 (DocCD=93) and New 990EZ (DocCD=92): Not available",Schedule A,Numeric,14,1997-2010,1997,2010,501C3-CHARITIES|501CE-NONPROFIT,"1997-2010, 2012-2024"
GRRECMEM,gross_income_members,"",below_threshold,0.210526316,"",Gross Income - Members,"501(c)(12) orgs - Gross income from members or shareholders Old 990 (DocCD=90): Part VI, Line 87a New 990 (DocCD=93): Part V Line 11a 990EZ (DocCD=09 and 92): Not Available",Other Information,Numeric,23,1989-2011,1989,2011,501C3-CHARITIES|501CE-NONPROFIT,1989-2024
GRRECOTH,gross_income_other,"",below_threshold,0.263157895,"",Gross Income - Other,"501(c)(12) orgs - Gross income from other sources Old 990 (DocCD=90): Part VI, Line 87b New 990 (DocCD=93): Part V Line 11b 990EZ (DocCD=09 and 92): Not Available",Other Information,Numeric,23,1989-2011,1989,2011,501C3-CHARITIES|501CE-NONPROFIT,1989-2024
GRRECPUB,gross_receipts_public_use,gross_receipts_public_use,description_jaccard,0.333,990ez:grspublicrcpts,Income Public Use of Facilities,"501(c)(7) orgs - Gross receipts for public use of club facilities Old 990 (DocCD=90): Part VI, Line 86b New 990 (DocCD=93): Part V Line 10b 990EZ (DocCD=09 and 92): Part V, Line 39b",Other Information,Numeric,23,1989-2011,1989,2011,501C3-CHARITIES|501CE-NONPROFIT,1989-2024
GRROOT,total_lobbying_amount,"",below_threshold,0.090909091,"",Grass Roots Expenses,"Total lobbying expenditures to influence public opinion (grassroots lobbying) Old 990 (DocCD=90) and Old 990EZ (DocCD=09): Sch A, Part VI-A, Line 36, Col (b) New 990 (DocCD=93) and New 990EZ (DocCD=92): Not available",Schedule A,Numeric,22,1989-2010,1989,2010,501C3-CHARITIES|501CE-NONPROFIT,1989-2010
GRTNONTX,nontaxable_grassroots_amount,"",below_threshold,0.086956522,"",Grass Roots Nontaxable Amt,"Grassroots nontaxable amount (enter 25% of line 41) Old 990 (DocCD=90) and Old 990EZ (DocCD=09): Sch A, Part VI-A, Line 42, Col (b) New 990 (DocCD=93) and New 990EZ (DocCD=92): Not available",Schedule A,Numeric,14,1997-2010,1997,2010,501C3-CHARITIES|501CE-NONPROFIT,1997-2010
GVTSRV4,gov_services_value_sec170,"",below_threshold,0.142857143,"",Total Govt Services/Facilities,"Services or facilities furnished by a governmental unit Old 990 (DocCD=90) and Old 990EZ (DocCD=09): Sch A, Part IV-A, Line 21, Col (e) New 990 (DocCD=93) and New 990EZ (DocCD=92): Not available",Schedule A,Numeric,14,1997-2010,1997,2010,501C3-CHARITIES|501CE-NONPROFIT,"1997-2010, 2012-2024"
GovGtCode,"","",below_threshold,0.2,"",Code for Contributions from government grants,Code for Estimated Contributions from government grants,Supplemental fields (Authorized Users Only),Character,15,1997-2011,1997,2011,501C3-CHARITIES,""
GovGtEstimate,"","",below_threshold,0.25,"",Contributions from government grants,Estimated Contributions from government grants,Supplemental fields (Authorized Users Only),Numeric,15,1997-2011,1997,2011,501C3-CHARITIES,""
