cid,name,type,notnull,dflt_value,pk,coverage,na_percent,cardinality_percent
0,EIN2,VARCHAR,FALSE,,FALSE,2012-2023,0,12.6163679868571
1,F9_00_SUBSECTION_CODE,INTEGER,FALSE,,FALSE,2012-2023,58.003579828161,8.68935805629488e-05
2,F9_09_EXP_FEE_SVC_ACC_TOT,DOUBLE,FALSE,,FALSE,2012-2023,0,4.76886601903343
3,F9_10_LIAB_ACC_PAYABLE_EOY,DOUBLE,FALSE,,FALSE,2012-2023,0,18.1182460405417
4,F9_10_ASSET_ACC_NET_EOY,DOUBLE,FALSE,,FALSE,2012-2023,0,14.7501201494561
5,F9_04_TAX_EXEMPT_BOND_ISSUER_X,VARCHAR,FALSE,,FALSE,2012-2023,0,0.000109475586396856
6,F9_09_EXP_AD_PROMO_TOT,DOUBLE,FALSE,,FALSE,2012-2023,0,6.4293552216388
7,F9_04_TRANSAC_PY_X,VARCHAR,FALSE,,FALSE,2012-2023,0,0.000109475586396856
8,F9_09_EXP_BEN_PAID_MEMB_TOT,DOUBLE,FALSE,,FALSE,2012-2023,0,0.754396265860732
9,F9_10_NAFB_CAP_STCK_EOY,DOUBLE,FALSE,,FALSE,2012-2023,0,1.90491169516742
10,F9_04_LTD_X,VARCHAR,FALSE,,FALSE,2012-2023,0,0.000109475586396856
11,F9_04_SCHED_O_REQ_X,VARCHAR,FALSE,,FALSE,2012-2023,0,0.000109475586396856
12,F9_09_EXP_COMP_DSQ_PERS_TOT,DOUBLE,FALSE,,FALSE,2012-2023,0,1.95756945222431
13,F9_09_EXP_COMP_DTK_TOT,DOUBLE,FALSE,,FALSE,2012-2023,46.0032003152876,18.6595669621798
14,F9_04_PTR_ACT_X,VARCHAR,FALSE,,FALSE,2012-2023,0,0.000109475586396856
15,F9_09_EXP_CONF_MEETING_TOT,DOUBLE,FALSE,,FALSE,2012-2023,0,5.8652275249358
16,F9_08_REV_OTH_INV_COST_GOODS,DOUBLE,FALSE,,FALSE,2012-2023,46.0032003152876,4.49068248263483
17,F9_04_CREDIT_COUNS_X,VARCHAR,FALSE,,FALSE,2012-2023,0,0.000109475586396856
18,F9_08_REV_OTH_SALE_LESS_COST_SEC,DOUBLE,FALSE,,FALSE,2012-2023,0,6.13720137340772
19,F9_08_REV_OTH_SALE_LESS_COST_OTH,DOUBLE,FALSE,,FALSE,2012-2023,0,1.75854283615482
20,F9_10_ASSET_LOAN_OFF_EOY,DOUBLE,FALSE,,FALSE,2012-2023,0,0.479503068418227
21,F9_10_LIAB_REV_DEFERRED_EOY,DOUBLE,FALSE,,FALSE,2012-2023,0,9.50463391911287
22,F9_09_EXP_DEPREC_TOT,DOUBLE,FALSE,,FALSE,2012-2023,0,14.0457542265787
23,F9_04_BIZ_TRANSAC_DTK_X,VARCHAR,FALSE,,FALSE,2012-2023,0,0.000109475586396856
24,F9_05_DAF_DIST_DONOR_X,VARCHAR,FALSE,,FALSE,2012-2023,0,0.000109475586396856
25,F9_04_DAF_X,VARCHAR,FALSE,,FALSE,2012-2023,0,0.000109475586396856
26,F9_00_ORG_EIN,INTEGER,FALSE,,FALSE,2012-2023,0,12.6163679868571
27,F9_04_TRANSAC_ENGAGED_X,VARCHAR,FALSE,,FALSE,2012-2023,0,0.000109475586396856
28,F9_10_LIAB_ESCROW_ACC_EOY,DOUBLE,FALSE,,FALSE,2012-2023,0,1.55648739552836
29,F9_05_DAF_EXCESS_BIZ_HOLDING_X,VARCHAR,FALSE,,FALSE,2012-2023,0,0.000109475586396856
30,SA_03_PUB_AMT_CONTR_SBST_TOT,DOUBLE,FALSE,,FALSE,2012-2023,0,2.23961505464474
31,SA_02_PUB_CONTR_SBST_TOT,DOUBLE,FALSE,,FALSE,2012-2023,0,11.7763983042962
32,F9_05_NONDEDUCT_CONTR_NOTIFY_X,VARCHAR,FALSE,,FALSE,2012-2023,0,0.000109475586396856
33,F9_05_NUM_FORM_1096_BOX_3,DOUBLE,FALSE,,FALSE,2012-2023,0,0.286753052635497
34,F9_05_170C_NUM_FORM_8282_FILED_X,INTEGER,FALSE,,FALSE,2012-2023,0,0.0041965641452128
35,F9_09_EXP_FEE_SVC_INVEST_TOT,DOUBLE,FALSE,,FALSE,2012-2023,0,3.70724476588098
36,F9_09_EXP_FEE_SVC_LOB_TOT,DOUBLE,FALSE,,FALSE,2012-2023,0,0.993344979102935
37,F9_09_EXP_FEE_SVC_MGMT_TOT,DOUBLE,FALSE,,FALSE,2012-2023,0,5.30161071430266
38,F9_09_EXP_FEE_SVC_OTH_TOT,DOUBLE,FALSE,,FALSE,2012-2023,0,14.1477489812384
39,F9_05_170C_FORM_1098C_FILED_X,VARCHAR,FALSE,,FALSE,2012-2023,0,0.000109475586396856
40,F9_05_TANNING_FORM_720_FILED_X,VARCHAR,FALSE,,FALSE,2012-2023,0,0.000109475586396856
41,F9_05_170C_FORM_8282_REQ_X,VARCHAR,FALSE,,FALSE,2012-2023,0,0.000109475586396856
42,F9_05_PTST_FORM_8886T_FILED_X,VARCHAR,FALSE,,FALSE,2012-2023,0,0.000109475586396856
43,F9_05_170C_FORM_8899_FILED_X,VARCHAR,FALSE,,FALSE,2012-2023,0,0.000109475586396856
44,F9_05_UBIZ_FORM_990T_FILED_X,VARCHAR,FALSE,,FALSE,2012-2023,0,0.000109475586396856
45,F9_05_4947_FORM_990_FILED_1041_X,VARCHAR,FALSE,,FALSE,2012-2023,0,0.000109475586396856
46,F9_05_EMPL_TAX_RETURN_FILED_X,VARCHAR,FALSE,,FALSE,2012-2023,0,0.000109475586396856
47,F9_04_BIZ_TRANSAC_DTK_FAM_X,VARCHAR,FALSE,,FALSE,2012-2023,0,0.000109475586396856
48,F9_05_170C_FUNDS_FOR_PREMIUM_X,VARCHAR,FALSE,,FALSE,2012-2023,0,0.000109475586396856
49,F9_05_FRGN_FIN_ACC_X,VARCHAR,FALSE,,FALSE,2012-2023,0,0.000109475586396856
50,F9_04_GRANT_MT_5K_FRGN_INDIV_X,VARCHAR,FALSE,,FALSE,2012-2023,0,0.000109475586396856
51,F9_04_GRANT_MT_5K_FRGN_ORG_X,VARCHAR,FALSE,,FALSE,2012-2023,0,0.000109475586396856
52,F9_04_FRGN_OFFICE_X,VARCHAR,FALSE,,FALSE,2012-2023,0,0.000109475586396856
53,F9_04_FRGN_ACT_X,VARCHAR,FALSE,,FALSE,2012-2023,0,0.000109475586396856
54,F9_05_NUM_FORM_W2G,INTEGER,FALSE,,FALSE,2012-2023,0,0.0151441227848984
55,SA_02_PUB_GIFT_GRANT_CONTR_TOT,DOUBLE,FALSE,,FALSE,2012-2023,0,35.2898566855099
56,F9_08_REV_OTH_SALE_GAIN_SEC,DOUBLE,FALSE,,FALSE,2012-2023,0,4.03913825197412
57,F9_08_REV_OTH_SALE_GAIN_OTH,DOUBLE,FALSE,,FALSE,2012-2023,46.0032003152876,4.40728641076553
58,F9_08_REV_OTH_SALE_GAIN_NET_TOT,DOUBLE,FALSE,,FALSE,2012-2023,0,7.37332671127675
59,F9_04_GRANT_RLTD_PERS_X,VARCHAR,FALSE,,FALSE,2012-2023,0,0.000109475586396856
60,F9_09_EXP_GRANT_US_INDIV_TOT,DOUBLE,FALSE,,FALSE,2012-2023,0,6.57524968644368
61,F9_10_LIAB_GRANT_PAYABLE_EOY,DOUBLE,FALSE,,FALSE,2012-2023,0,1.79393994242314
62,F9_09_EXP_GRANT_FRGN_TOT,DOUBLE,FALSE,,FALSE,2012-2023,0,2.76451399955553
63,F9_09_EXP_GRANT_US_ORG_TOT,DOUBLE,FALSE,,FALSE,2012-2023,0,9.02575121235089
64,F9_08_REV_OTH_SALE_ASSET_SEC,DOUBLE,FALSE,,FALSE,2012-2023,0,6.58440914383888
65,F9_08_REV_OTH_INV_GRO_SALE,DOUBLE,FALSE,,FALSE,2012-2023,46.0032003152876,5.43405830696513
66,F9_08_REV_OTH_SALE_ASSET_OTH,DOUBLE,FALSE,,FALSE,2012-2023,0,1.61600562266612
67,SA_02_TOT_INCOME_GRO_TOT,DOUBLE,FALSE,,FALSE,2012-2023,0,10.5543223333481
68,SA_03_TOT_INCOME_GRO_TOT,DOUBLE,FALSE,,FALSE,2012-2023,0,6.8333201354432
69,F9_08_REV_OTH_FUNDR_EVNT_1,DOUBLE,FALSE,,FALSE,2012-2023,0,7.79385893048921
70,F9_08_REV_OTH_GAMING,DOUBLE,FALSE,,FALSE,2012-2023,0,1.63133220476168
71,F9_05_501C12_GRO_INCOME_MEMB,DOUBLE,FALSE,,FALSE,2012-2023,0,0.0032112838676411
72,F9_05_501C12_GRO_INCOME_OTH,INTEGER,FALSE,,FALSE,2012-2023,46.0032003152876,0.00675819058908444
73,F9_08_REV_OTH_INV_NET_TOT,DOUBLE,FALSE,,FALSE,2012-2023,46.0032003152876,4.7780407464827
74,F9_05_501C7_GRO_RCPT_PUB_USE,INTEGER,FALSE,,FALSE,2012-2023,0,0.0051818444227845
75,SA_03_PUB_GRO_RCPT_NONUBIZ_TOT,DOUBLE,FALSE,,FALSE,2012-2023,0,3.1449416622846
76,SA_03_PUB_GRO_RCPT_ADM_TOT,DOUBLE,FALSE,,FALSE,2012-2023,0,21.1662288251409
77,SA_02_TOT_GRO_RCPT_RLTD_ACTS,DOUBLE,FALSE,,FALSE,2012-2023,0,14.1819053641943
78,F9_08_REV_OTH_RENT_GRO_PERS,DOUBLE,FALSE,,FALSE,2012-2023,0,0.328061840569244
79,F9_08_REV_OTH_RENT_GRO_REAL,DOUBLE,FALSE,,FALSE,2012-2023,0,4.80502945440652
80,F9_04_ENDOW_X,VARCHAR,FALSE,,FALSE,2012-2023,0,0.000109475586396856
81,F9_04_HOSPITAL_AFS_X,VARCHAR,FALSE,,FALSE,2012-2023,10.0475303382226,0.000202839838880259
82,F9_04_AFS_CONSOL_X,VARCHAR,FALSE,,FALSE,2012-2023,0,0.000109475586396856
83,F9_09_EXP_INFO_TECH_TOT,DOUBLE,FALSE,,FALSE,2012-2023,0,6.53145945188493
84,F9_05_501C7_INITIATION_FEES,DOUBLE,FALSE,,FALSE,2012-2023,46.0032003152876,0.00310876767097884
85,F9_09_EXP_INSURANCE_TOT,DOUBLE,FALSE,,FALSE,2012-2023,0,8.25216022700858
86,F9_10_ASSET_INTANGIBLE_EOY,DOUBLE,FALSE,,FALSE,2012-2023,0,2.17122930500884
87,F9_09_EXP_INT_TOT,DOUBLE,FALSE,,FALSE,2012-2023,0,7.308845590889
88,F9_04_ENTITY_CTRL_X,VARCHAR,FALSE,,FALSE,2012-2023,0,0.000109475586396856
