cid,name,type,notnull,dflt_value,pk,coverage,na_percent,cardinality_percent
0,EIN2,VARCHAR,FALSE,,FALSE,2012-2023,0,11.4301801801802
1,F9_00_SUBSECTION_CODE,INTEGER,FALSE,,FALSE,2012-2023,61.0282530551115,0.00726797005596337
2,F9_09_EXP_FEE_SVC_ACC_TOT,DOUBLE,FALSE,,FALSE,2012-2023,0,7.77774756647996
3,F9_10_LIAB_ACC_PAYABLE_EOY,DOUBLE,FALSE,,FALSE,2012-2023,0,21.0146011202349
4,F9_10_ASSET_ACC_NET_EOY,DOUBLE,FALSE,,FALSE,2012-2023,0,19.9920242173763
5,F9_04_TAX_EXEMPT_BOND_ISSUER_X,VARCHAR,FALSE,,FALSE,2012-2023,0,0.000339877100440481
6,F9_09_EXP_AD_PROMO_TOT,DOUBLE,FALSE,,FALSE,2012-2023,0.000113288644739272,9.38413066703222
7,F9_04_TRANSAC_PY_X,VARCHAR,FALSE,,FALSE,2012-2023,0,0.000339877100440481
8,F9_09_EXP_BEN_PAID_MEMB_TOT,DOUBLE,FALSE,,FALSE,2012-2023,0,10.4387586781953
9,F9_10_NAFB_CAP_STCK_EOY,DOUBLE,FALSE,,FALSE,2012-2023,0,5.71446698207262
10,F9_04_LTD_X,VARCHAR,FALSE,,FALSE,2012-2023,0,0.000339877100440481
11,F9_04_SCHED_O_REQ_X,VARCHAR,FALSE,,FALSE,2012-2023,0,0.000339877100440481
12,F9_09_EXP_COMP_DSQ_PERS_TOT,DOUBLE,FALSE,,FALSE,2012-2023,0,1.44617706237425
13,F9_09_EXP_COMP_DTK_TOT,DOUBLE,FALSE,,FALSE,2012-2023,46.8755558224133,23.3571692105583
14,F9_04_PTR_ACT_X,VARCHAR,FALSE,,FALSE,2012-2023,0,0.000339877100440481
15,F9_09_EXP_CONF_MEETING_TOT,DOUBLE,FALSE,,FALSE,2012-2023,0,14.0576567513187
16,F9_08_REV_OTH_INV_COST_GOODS,DOUBLE,FALSE,,FALSE,2012-2023,46.8755558224133,12.97118155005
17,F9_04_CREDIT_COUNS_X,VARCHAR,FALSE,,FALSE,2012-2023,0,0.000339877100440481
18,F9_08_REV_OTH_SALE_LESS_COST_SEC,DOUBLE,FALSE,,FALSE,2012-2023,0,6.07666267877536
19,F9_08_REV_OTH_SALE_LESS_COST_OTH,DOUBLE,FALSE,,FALSE,2012-2023,0,1.81075189878007
20,F9_10_ASSET_LOAN_OFF_EOY,DOUBLE,FALSE,,FALSE,2012-2023,0,0.754527162977867
21,F9_10_LIAB_REV_DEFERRED_EOY,DOUBLE,FALSE,,FALSE,2012-2023,0,13.7041845668606
22,F9_09_EXP_DEPREC_TOT,DOUBLE,FALSE,,FALSE,2012-2023,0,16.901521743071
23,F9_04_BIZ_TRANSAC_DTK_X,VARCHAR,FALSE,,FALSE,2012-2023,0,0.000339877100440481
24,F9_05_DAF_DIST_DONOR_X,VARCHAR,FALSE,,FALSE,2012-2023,0,0.000339877100440481
25,F9_04_DAF_X,VARCHAR,FALSE,,FALSE,2012-2023,0,0.000339877100440481
26,F9_00_ORG_EIN,DOUBLE,FALSE,,FALSE,2012-2023,0,11.4300668878134
27,F9_04_TRANSAC_ENGAGED_X,VARCHAR,FALSE,,FALSE,2012-2023,0,0.000339877100440481
28,F9_10_LIAB_ESCROW_ACC_EOY,DOUBLE,FALSE,,FALSE,2012-2023,0,0.753054362209292
29,F9_05_DAF_EXCESS_BIZ_HOLDING_X,VARCHAR,FALSE,,FALSE,2012-2023,0,0.000339877100440481
30,SA_03_PUB_AMT_CONTR_SBST_TOT,DOUBLE,FALSE,,FALSE,2012-2023,0,0.00577791070748817
31,SA_02_PUB_CONTR_SBST_TOT,DOUBLE,FALSE,,FALSE,2012-2023,0,0.0386326970834013
32,F9_05_NONDEDUCT_CONTR_NOTIFY_X,VARCHAR,FALSE,,FALSE,2012-2023,0,0.000339877100440481
33,F9_05_NUM_FORM_1096_BOX_3,DOUBLE,FALSE,,FALSE,2012-2023,0,0.987569561513224
34,F9_05_170C_NUM_FORM_8282_FILED_X,INTEGER,FALSE,,FALSE,2012-2023,0,0.000793046567694455
35,F9_09_EXP_FEE_SVC_INVEST_TOT,DOUBLE,FALSE,,FALSE,2012-2023,0,5.22413761850382
36,F9_09_EXP_FEE_SVC_LOB_TOT,DOUBLE,FALSE,,FALSE,2012-2023,0,3.14590244167709
37,F9_09_EXP_FEE_SVC_MGMT_TOT,DOUBLE,FALSE,,FALSE,2012-2023,0,7.02605271267243
38,F9_09_EXP_FEE_SVC_OTH_TOT,DOUBLE,FALSE,,FALSE,2012-2023,0,13.183379556619
39,F9_05_170C_FORM_1098C_FILED_X,VARCHAR,FALSE,,FALSE,2012-2023,0,0.000339877100440481
40,F9_05_TANNING_FORM_720_FILED_X,VARCHAR,FALSE,,FALSE,2012-2023,0,0.000339877100440481
41,F9_05_170C_FORM_8282_REQ_X,VARCHAR,FALSE,,FALSE,2012-2023,0,0.000339877100440481
42,F9_05_PTST_FORM_8886T_FILED_X,VARCHAR,FALSE,,FALSE,2012-2023,0,0.000339877100440481
43,F9_05_170C_FORM_8899_FILED_X,VARCHAR,FALSE,,FALSE,2012-2023,0,0.000339877100440481
44,F9_05_UBIZ_FORM_990T_FILED_X,VARCHAR,FALSE,,FALSE,2012-2023,0,0.000339877100440481
45,F9_05_4947_FORM_990_FILED_1041_X,VARCHAR,FALSE,,FALSE,2012-2023,0,0.000226584733626987
