cid,name,type,notnull,dflt_value,pk,coverage,na_percent,cardinality_percent
0,F9_10_ASSET_TOT_BOY,DOUBLE,FALSE,,FALSE,1989-2023,0,23.8706926760442
1,F9_10_ASSET_TOT_EOY,DOUBLE,FALSE,,FALSE,1989-2023,0,27.7840630171413
2,F9_09_EXP_COMP_DTK_TOT,DOUBLE,FALSE,,FALSE,1989-2023,0,5.22390867747672
3,F9_08_REV_CONTR_TOT,DOUBLE,FALSE,,FALSE,1989-2023,0,15.6024908458271
4,F9_08_REV_CONTR_MEMBSHIP_DUE,DOUBLE,FALSE,,FALSE,1989-2023,44.1849872335565,3.26400339634468
5,F9_00_ORG_EIN,INTEGER,FALSE,,FALSE,1989-2023,0,8.00059085323684
6,SC_02_EXP_GRASS_M_NONTAX_FILEORG,INTEGER,FALSE,,FALSE,1989-2010,51.5089720157087,0.0136690956669564
7,SC_02_EXP_LOB_M_NONTAX_FILEORG,INTEGER,FALSE,,FALSE,1989-2010,51.5089720157087,0.0195983394933799
8,F9_09_EXP_TOT_TOT,DOUBLE,FALSE,,FALSE,1989-2023,0,22.4629105484477
9,F9_01_NAFB_TOT_EOY,DOUBLE,FALSE,,FALSE,1989-2023,0,21.2348832649986
10,F9_09_EXP_FEE_SVC_FUNDR_TOT,DOUBLE,FALSE,,FALSE,1989-2022,16.7130132048559,0.981080283021349
11,F9_08_REV_OTH_EVNT_NET_TOT,DOUBLE,FALSE,,FALSE,1989-2019,19.7782042692716,3.6741800030452
12,F9_08_REV_OTH_INV_COST_GOODS,DOUBLE,FALSE,,FALSE,1989-2023,0,2.21958784609875
13,F9_08_REV_OTH_INV_NET_TOT,DOUBLE,FALSE,,FALSE,1989-2023,0,2.24780871020328
14,F9_00_GRO_RCPT,DOUBLE,FALSE,,FALSE,1989-2023,0,22.7978849692494
15,F9_05_501C12_GRO_INCOME_MEMB,DOUBLE,FALSE,,FALSE,1989-2023,0,0.0160448878652407
16,F9_05_501C12_GRO_INCOME_OTH,DOUBLE,FALSE,,FALSE,1989-2023,0,0.0221425241435523
17,F9_05_501C7_GRO_RCPT_PUB_USE,INTEGER,FALSE,,FALSE,1989-2023,12.5093394175908,0.0183058892030542
18,SC_02_EXP_GRASS_LOB_FILEORG,INTEGER,FALSE,,FALSE,1989-2010,51.5089720157087,0.1690232426358
19,SC_02_EXP_DIRECT_LOB_FILEORG,INTEGER,FALSE,,FALSE,1989-2010,51.5089720157087,0.349308069183531
20,F9_05_501C7_INITIATION_FEES,DOUBLE,FALSE,,FALSE,1989-2023,0,0.0186112980709857
21,F9_08_REV_OTH_INVEST_INCOME_TOT,DOUBLE,FALSE,,FALSE,1989-2023,0,4.68839727875614
22,F9_10_LIAB_TOT_BOY,DOUBLE,FALSE,,FALSE,1989-2023,0,13.7763935028528
23,F9_10_LIAB_TOT_EOY,DOUBLE,FALSE,,FALSE,1989-2023,0,15.8396908266851
24,F9_08_REV_MISC_TOT_TOT,DOUBLE,FALSE,,FALSE,1989-2023,0,3.46127692222195
25,F9_06_POLI_EXP,DOUBLE,FALSE,,FALSE,1989-2023,0,0.0223837281102576
26,F9_08_REV_PROG_TOT_TOT,DOUBLE,FALSE,,FALSE,1989-2023,0,14.5834716236076
27,F9_10_NAFB_EARNING_RETAINED_EOY,DOUBLE,FALSE,,FALSE,1989-2023,0,5.19058393743671
28,F9_08_REV_OTH_SALE_LESS_COST_SEC,DOUBLE,FALSE,,FALSE,1989-2023,0,5.72695402227876
29,F9_08_REV_OTH_SALE_ASSET_SEC,DOUBLE,FALSE,,FALSE,1989-2023,0,5.94960457986514
30,F9_01_EXP_FUNDR_TOT_CY,DOUBLE,FALSE,,FALSE,1989-2023,0,2.4920904395238
31,F9_00_TAX_PERIOD_END_DATE,INTEGER,FALSE,,FALSE,1989-2023,0.106814764615803,0.00398895031786525
32,F9_00_EXEMPT_STAT_501C3_X,VARCHAR,FALSE,,FALSE,1989-2019,19.7547978363425,0.00046891051167515
33,SC_02_LOB_ACT_CONTACT_LEGIS_AMT,INTEGER,FALSE,,FALSE,1989-2010,51.5089720157087,0.626868308709064
34,SR_02_RLTD_ORG_PCSTAT,VARCHAR,FALSE,,FALSE,1989-2019,16.1501782207869,4.60258994640169e-05
35,F9_08_REV_OTH_GAMING,DOUBLE,FALSE,,FALSE,1995-2023; 1989,11.3749571621755,2.85109618814907
