cid,name,type,notnull,dflt_value,pk,coverage,na_percent,cardinality_percent
0,F9_00_ORG_EIN,VARCHAR,FALSE,,FALSE,1989-2023,0,9.17896716451399
1,F9_00_TAX_PERIOD_END_DATE,INTEGER,FALSE,,FALSE,1989-2023,0,0.00810684223430915
2,F9_04_LOB_ACT_X,VARCHAR,FALSE,,FALSE,1989-1999; 2012-2022,39.9937087732881,0.0151615748218763
3,SC_02_EXP_DIRECT_LOB_FILEORG,INTEGER,FALSE,,FALSE,1989-2010,34.9521844966652,0.00268150350682763
4,SC_02_AVE_EXP_GRASS_LOB_TOT,INTEGER,FALSE,,FALSE,1989-1999,65.7974902881418,0.00104314082748885
5,SC_02_EXP_LOB_M_NONTAX_AFFGROUP,INTEGER,FALSE,,FALSE,1989-1999,65.7974902881418,0.000637474950132073
6,SC_02_EXP_GRASS_M_NONTAX_FILEORG,INTEGER,FALSE,,FALSE,1989-2010,34.9521844966652,0.00100556381506036
7,F9_03_PROG_CODE_4,VARCHAR,FALSE,,FALSE,1989-1999,66.2219399693288,0.0222985850960952
8,F9_00_EXEMPT_STAT_501C3_X,VARCHAR,FALSE,,FALSE,1989-2019,15.9636012694245,0.000566072714870589
9,F9_00_GRO_RCPT,DOUBLE,FALSE,,FALSE,1989-2023,0,24.5370923710254
10,SR_02_RLTD_ORG_PCSTAT,VARCHAR,FALSE,,FALSE,1989-2019,9.89821651452958,8.79943965168298e-05
11,F9_08_REV_CONTR_MEMBSHIP_DUE,DOUBLE,FALSE,,FALSE,1989-2023,30.468565570578,11.8886413555515
12,F9_09_EXP_TOT_FUNDR,DOUBLE,FALSE,,FALSE,1989-2023,0,0.611224190658658
13,F9_08_REV_OTH_INV_COST_GOODS,DOUBLE,FALSE,,FALSE,1989-2023,0,4.88065598426678
14,F9_08_REV_OTH_INV_NET_TOT,DOUBLE,FALSE,,FALSE,1989-2023,0,4.84503741337423
15,F9_01_REV_INVEST_TOT_CY,INTEGER,FALSE,,FALSE,1989-1999; 2007-2023; 2002; 2004,61.3138713620546,7.26087504521555
