VAR_NAME_NEW,VAR_DATA_TYPE,VAR_NA_PERCENT,VAR_COVERAGE,VAR_CARDINALITY_PERCENT,LABEL,DESCRIPTION,FORM,FORM_TYPE,FORM_PART,FORM_LINE_NUMBER
F9_00_ORG_EIN,INTEGER,0,1987-2023,6.668989411,EIN,Orgainization Employer Identification Number (EIN),F990,PC,PART-00,Section D
F9_00_FISCAL_YEAR_END,INTEGER,67.34688003,1987-2006,0.002026607,Fiscal Year,Starting fiscal year,,,,
F9_00_FISCAL_YEAR_START,INTEGER,31.80409405,1987-2020,0.001601105,Fiscal Year,Ending fiscal year,,,,
IRS_ACTIVITY_CODE_1,VARCHAR,32.18612263,1987-2020,0.185603529,IRS Activity Code,IRS Activity Code,,,,
IRS_ACTIVITY_CODE_2,VARCHAR,33.01350931,1987-2020,0.013287074,IRS Activity Code,IRS Activity Code,,,,
IRS_ACTIVITY_CODE_3,VARCHAR,33.01350931,1987-2020,0.011261907,IRS Activity Code,IRS Activity Code,,,,
PF_01_REV_CONTR_REC_BOOKS,DOUBLE,66.80047262,1987-1990; 1995-2023,15.00391176,Revenue and Expenses per Books,Contributions Received - Revenue and Expenses per Books,F990,PF,PART-01,Line 01 Column (A)
PF_01_REV_CONTR_REC_BOOKS,DOUBLE,66.80047262,1987-1990; 1995-2023,15.00391176,Revenue and Expenses per Books,Contributions Received - Revenue and Expenses per Books,F990,PF,PART-01,Line 01 Column (A)
PF_01_REV_INT_SAVING_BOOKS,DOUBLE,0,1987-2023,3.754441587,Revenue and Expenses per Books,Interest on Savings and Temporary Cash Investments - Revenue and Expenses per Books,F990,PF,PART-01,Line 03 Column (A)
PF_01_REV_INT_SAVING_BOOKS,DOUBLE,0,1987-2023,3.754441587,Revenue and Expenses per Books,Interest on Savings and Temporary Cash Investments - Revenue and Expenses per Books,F990,PF,PART-01,Line 03 Column (A)
PF_01_REV_DIVIDEND_BOOKS,DOUBLE,0,1987-2023,10.47154026,Revenue and Expenses per Books,Dividends and Interest from Securities - Revenue and Expenses per Books,F990,PF,PART-01,Line 04 Column (A)
PF_01_REV_DIVIDEND_BOOKS,DOUBLE,0,1987-2023,10.47154026,Revenue and Expenses per Books,Dividends and Interest from Securities - Revenue and Expenses per Books,F990,PF,PART-01,Line 04 Column (A)
PF_01_REV_SALE_ASSET_NET_BOOKS_GAIN,DOUBLE,0,1987-2023,9.298620548,Revenue and Expenses per Books,Net Gain from Sale of Assets - Revenue and Expenses per Books,,,,
PF_01_REV_SALE_ASSET_NET_BOOKS_LOSS,INTEGER,82.22544715,1987-2002,5.427049244,Revenue and Expenses per Books,Net Loss from Sale of Assets - Revenue and Expenses per Books,,,,
